Freq_Hz,Amplitude_dB
4.800000000000000000e+07,-9.274583893000074397e+01
4.802000000000000000e+07,-9.595396576000101163e+01
4.804000000000000000e+07,-9.693258972000087681e+01
4.806000000000000000e+07,-9.406329192999933753e+01
4.808000000000000000e+07,-9.263828277999951410e+01
4.810000000000000000e+07,-9.375609435999902530e+01
4.812000000000000000e+07,-9.223835754000110398e+01
4.814000000000000000e+07,-9.265101624000074310e+01
4.816000000000000000e+07,-9.462027435000095466e+01
4.818000000000000000e+07,-9.506499328999971965e+01
4.820000000000000000e+07,-9.246869201999908228e+01
4.822000000000000000e+07,-9.221459198000023605e+01
4.824000000000000000e+07,-9.028850707999923486e+01
4.826000000000000000e+07,-9.155011291999899470e+01
4.828000000000000000e+07,-9.127297363000042196e+01
4.830000000000000000e+07,-9.509525603999895793e+01
4.832000000000000000e+07,-9.734001312000086159e+01
4.834000000000000000e+07,-9.266529999000084672e+01
4.836000000000000000e+07,-9.402194061000041359e+01
4.838000000000000000e+07,-9.072451477000078057e+01
4.840000000000000000e+07,-9.287519988999945042e+01
4.842000000000000000e+07,-9.451098174999980017e+01
4.844000000000000000e+07,-9.424152373999885413e+01
4.846000000000000000e+07,-9.064498900999961961e+01
4.848000000000000000e+07,-9.151591339000088965e+01
4.850000000000000000e+07,-9.125278930999975557e+01
4.852000000000000000e+07,-9.464464417000067442e+01
4.854000000000000000e+07,-9.161100463999950705e+01
4.856000000000000000e+07,-9.492030640000064068e+01
4.858000000000000000e+07,-9.215256805000002771e+01
4.860000000000000000e+07,-9.216782073999895886e+01
4.862000000000000000e+07,-9.308424072000089211e+01
4.864000000000000000e+07,-9.091299437999988697e+01
4.866000000000000000e+07,-9.314123688000059076e+01
4.868000000000000000e+07,-9.322118834999916714e+01
4.870000000000000000e+07,-9.215864257999980680e+01
4.872000000000000000e+07,-9.807489014000019267e+01
4.874000000000000000e+07,-9.550623474000104807e+01
4.876000000000000000e+07,-9.558580017000100781e+01
4.878000000000000000e+07,-9.436410521999893319e+01
4.880000000000000000e+07,-9.428585814999927095e+01
4.882000000000000000e+07,-9.561389313000060497e+01
4.884000000000000000e+07,-9.363405150999997772e+01
4.886000000000000000e+07,-9.539692993000049626e+01
4.888000000000000000e+07,-9.517315978999978654e+01
4.890000000000000000e+07,-9.747282409999948527e+01
4.892000000000000000e+07,-9.290562134000100514e+01
4.894000000000000000e+07,-9.877521515000067609e+01
4.896000000000000000e+07,-9.242237700999980632e+01
4.898000000000000000e+07,-9.238080138999990254e+01
4.900000000000000000e+07,-9.436196136000023671e+01
4.902000000000000000e+07,-9.357779388000007259e+01
4.904000000000000000e+07,-9.392440948000087531e+01
4.906000000000000000e+07,-9.120677643000074397e+01
4.908000000000000000e+07,-9.242595520000027420e+01
4.910000000000000000e+07,-9.603340911999900698e+01
4.912000000000000000e+07,-9.308309326000015460e+01
4.914000000000000000e+07,-9.723789214999909802e+01
4.916000000000000000e+07,-9.520064850000009926e+01
4.918000000000000000e+07,-9.114277954000081650e+01
4.920000000000000000e+07,-9.353651276000101689e+01
4.922000000000000000e+07,-9.022968140000010351e+01
4.924000000000000000e+07,-9.507581329000046821e+01
4.926000000000000000e+07,-9.099951323999995623e+01
4.928000000000000000e+07,-9.561027068999891299e+01
4.930000000000000000e+07,-9.546982422000056090e+01
4.932000000000000000e+07,-9.104603423999911627e+01
4.934000000000000000e+07,-9.117743530000005592e+01
4.936000000000000000e+07,-9.537850189000103285e+01
4.938000000000000000e+07,-9.503263244999897097e+01
4.940000000000000000e+07,-9.310693206999953020e+01
4.942000000000000000e+07,-9.647402039000006368e+01
4.944000000000000000e+07,-9.264749298000037925e+01
4.946000000000000000e+07,-9.271669159000096272e+01
4.948000000000000000e+07,-9.595553436000041359e+01
4.950000000000000000e+07,-9.273471374999900263e+01
4.952000000000000000e+07,-9.401129760999950236e+01
4.954000000000000000e+07,-9.738683471999917174e+01
4.956000000000000000e+07,-9.755874480999959530e+01
4.958000000000000000e+07,-9.796237639999937130e+01
4.960000000000000000e+07,-9.204802855999930955e+01
4.962000000000000000e+07,-9.363447266000001434e+01
4.964000000000000000e+07,-9.455607757999925411e+01
4.966000000000000000e+07,-9.224928893999991431e+01
4.968000000000000000e+07,-9.128945769999947402e+01
4.970000000000000000e+07,-9.801990356000108306e+01
4.972000000000000000e+07,-9.595309601000003852e+01
4.974000000000000000e+07,-9.045861511000060773e+01
4.976000000000000000e+07,-9.398735657000108290e+01
4.978000000000000000e+07,-9.519635925000082466e+01
4.980000000000000000e+07,-9.231669159000010438e+01
4.982000000000000000e+07,-9.460483398000108934e+01
4.984000000000000000e+07,-9.105457305999932771e+01
4.986000000000000000e+07,-9.129079436999955988e+01
4.988000000000000000e+07,-9.497177733999942006e+01
4.990000000000000000e+07,-9.625085448999944049e+01
4.992000000000000000e+07,-9.367529143999914254e+01
4.994000000000000000e+07,-9.199532775999979606e+01
4.996000000000000000e+07,-9.546493683000093711e+01
4.998000000000000000e+07,-9.193559875000012482e+01
5.000000000000000000e+07,-9.156573180999903627e+01
5.002000000000000000e+07,-9.439487609999939366e+01
5.004000000000000000e+07,-9.147584839000033696e+01
5.006000000000000000e+07,-9.549932098000077474e+01
5.008000000000000000e+07,-9.197112732000046265e+01
5.010000000000000000e+07,-9.118637999999934607e+01
5.012000000000000000e+07,-9.582784728999892820e+01
5.014000000000000000e+07,-9.555972594999927594e+01
5.016000000000000000e+07,-9.531003264999938551e+01
5.018000000000000000e+07,-9.256628112999946723e+01
5.020000000000000000e+07,-9.030153350999950135e+01
5.022000000000000000e+07,-9.314949188000109359e+01
5.024000000000000000e+07,-9.245862122000058037e+01
5.026000000000000000e+07,-9.577617340000084312e+01
5.028000000000000000e+07,-9.122240448000022184e+01
5.030000000000000000e+07,-9.011608123999968711e+01
5.032000000000000000e+07,-9.273462067000022557e+01
5.034000000000000000e+07,-9.265118560999934516e+01
5.036000000000000000e+07,-9.344146729000011931e+01
5.038000000000000000e+07,-9.632072144000066771e+01
5.040000000000000000e+07,-9.626474151999951800e+01
5.042000000000000000e+07,-9.188740387000082421e+01
5.044000000000000000e+07,-9.147855682000027855e+01
5.046000000000000000e+07,-8.809377441000053466e+01
5.048000000000000000e+07,-9.751908721999888030e+01
5.050000000000000000e+07,-9.536472777999935602e+01
5.052000000000000000e+07,-9.472818908999961707e+01
5.054000000000000000e+07,-8.993559113000065963e+01
5.056000000000000000e+07,-9.563066711000048770e+01
5.058000000000000000e+07,-9.400003661999905091e+01
5.060000000000000000e+07,-9.494371338000011917e+01
5.062000000000000000e+07,-9.761984710999972492e+01
5.064000000000000000e+07,-9.622401428000010526e+01
5.066000000000000000e+07,-9.242474059999962321e+01
5.068000000000000000e+07,-9.411503906000083930e+01
5.070000000000000000e+07,-9.402104644999974425e+01
5.072000000000000000e+07,-9.551993865999978084e+01
5.074000000000000000e+07,-9.541672821000047122e+01
5.076000000000000000e+07,-9.680580750000065393e+01
5.078000000000000000e+07,-9.259549561000068252e+01
5.080000000000000000e+07,-9.318554076999922131e+01
5.082000000000000000e+07,-9.356132813000054682e+01
5.084000000000000000e+07,-9.226724701000044604e+01
5.086000000000000000e+07,-9.040297240999906592e+01
5.088000000000000000e+07,-9.245650634999969952e+01
5.090000000000000000e+07,-9.322144623000095010e+01
5.092000000000000000e+07,-9.519031525000110605e+01
5.094000000000000000e+07,-9.515257110999911561e+01
5.096000000000000000e+07,-9.335568390000065619e+01
5.098000000000000000e+07,-9.468870238999996047e+01
5.100000000000000000e+07,-9.193132324000114863e+01
5.102000000000000000e+07,-9.504614104999943436e+01
5.104000000000000000e+07,-9.741970977999930881e+01
5.106000000000000000e+07,-9.205461578000007705e+01
5.108000000000000000e+07,-9.260146484000081557e+01
5.110000000000000000e+07,-9.614402161000117530e+01
5.112000000000000000e+07,-9.440376891999969189e+01
5.114000000000000000e+07,-9.323274993999996241e+01
5.116000000000000000e+07,-9.690412444999917341e+01
