Freq_Hz,Amplitude_dB
-6.399902000000000000e+06,-9.312700652999976114e+01
-6.379902000000000000e+06,-9.731822967999993068e+01
-6.359902000000000000e+06,-7.816215972999999906e+01
-6.339902000000000000e+06,-7.618495482999988155e+01
-6.319902000000000000e+06,-9.304554901000003042e+01
-6.299902000000000000e+06,-9.704690094000015677e+01
-6.279902000000000000e+06,-9.648192749000007495e+01
-6.259902000000000000e+06,-9.204963989000012248e+01
-6.239902000000000000e+06,-9.733113861000005329e+01
-6.219902000000000000e+06,-9.616141662999993400e+01
-6.199902000000000000e+06,-9.982602844000012965e+01
-6.179902000000000000e+06,-9.094049377000008860e+01
-6.159902000000000000e+06,-8.772231139999996685e+01
-6.139902000000000000e+06,-8.920196227999991834e+01
-6.119902000000000000e+06,-9.501851653999989367e+01
-6.099902000000000000e+06,-9.602300872999995818e+01
-6.079902000000000000e+06,-9.696913452000006828e+01
-6.059902000000000000e+06,-9.785498046999983046e+01
-6.039902000000000000e+06,-8.992917328000008581e+01
-6.019902000000000000e+06,-8.759622498000017288e+01
-5.999902000000000000e+06,-7.338161315999988688e+01
-5.979902000000000000e+06,-8.203280181999986098e+01
-5.959902000000000000e+06,-8.662085570999990125e+01
-5.939902000000000000e+06,-9.528280028999992624e+01
-5.919902000000000000e+06,-8.066214141999991227e+01
-5.899902000000000000e+06,-7.722625274999991518e+01
-5.879902000000000000e+06,-9.432855071999989605e+01
-5.859902000000000000e+06,-8.926866912999985004e+01
-5.839902000000000000e+06,-8.462135924999991232e+01
-5.819902000000000000e+06,-9.754475860999993131e+01
-5.799902000000000000e+06,-8.416201476999980002e+01
-5.779902000000000000e+06,-7.781622619999984636e+01
-5.759902000000000000e+06,-8.291975555000020393e+01
-5.739902000000000000e+06,-8.946738433999982476e+01
-5.719902000000000000e+06,-8.703172454999997854e+01
-5.699902000000000000e+06,-8.548955535999995448e+01
-5.679902000000000000e+06,-8.897370452999996360e+01
-5.659902000000000000e+06,-8.932410736000014140e+01
-5.639902000000000000e+06,-9.017290038999999524e+01
-5.619902000000000000e+06,-8.725017853000001367e+01
-5.599902000000000000e+06,-7.813042450000010319e+01
-5.579902000000000000e+06,-9.044811554000000342e+01
-5.559902000000000000e+06,-9.140269012000015891e+01
-5.539902000000000000e+06,-8.507495116999983509e+01
-5.519902000000000000e+06,-9.450463409000002457e+01
-5.499902000000000000e+06,-9.244391632000022696e+01
-5.479902000000000000e+06,-8.191097412000000588e+01
-5.459902000000000000e+06,-9.270028380999991668e+01
-5.439902000000000000e+06,-9.529190215999992120e+01
-5.419902000000000000e+06,-8.405380096000023116e+01
-5.399902000000000000e+06,-9.294516295999997624e+01
-5.379902000000000000e+06,-9.570380707000002474e+01
-5.359902000000000000e+06,-9.619282378999997718e+01
-5.339902000000000000e+06,-9.696846923999997614e+01
-5.319902000000000000e+06,-9.170988464000018325e+01
