Frequency (Hz),PSD (dBm)
-10000000.0,-65.25302347803299
-9980000.0,-65.27599449776956
-9960000.0,-65.26625258351947
-9940000.0,-65.26467776594819
-9920000.0,-65.22371791593665
-9900000.0,-65.27479249174671
-9880000.0,-65.28067621281339
-9860000.0,-65.28493562724806
-9840000.0,-65.26037568755419
-9820000.0,-65.26570519853172
-9800000.0,-65.25644760603326
-9780000.0,-65.28732722394342
-9760000.0,-65.27151651496632
-9740000.0,-65.25827055161594
-9720000.0,-65.23173849366985
-9700000.0,-65.27181039307541
-9680000.0,-65.28537388510222
-9660000.0,-65.28453655565971
-9640000.0,-65.29239692924713
-9620000.0,-65.31055073330454
-9600000.0,-65.31195440754695
-9580000.0,-65.29521870092881
-9560000.0,-65.27391796999899
-9540000.0,-65.29579390343164
-9520000.0,-65.3060710848325
-9500000.0,-65.27610315947518
-9480000.0,-65.28752071591357
-9460000.0,-65.32860726894933
-9440000.0,-65.31397875216703
-9420000.0,-65.30428629176089
-9400000.0,-65.28988268052005
-9380000.0,-65.28041356332098
-9360000.0,-65.29642585540665
-9340000.0,-65.28250494362273
-9320000.0,-65.27048575272163
-9300000.0,-65.27152996904317
-9280000.0,-65.27020354291552
-9260000.0,-65.27919527138525
-9240000.0,-65.27647656037442
-9220000.0,-65.27484353804624
-9200000.0,-65.2995383085455
-9180000.0,-65.29227584842917
-9160000.0,-65.25522764202636
-9140000.0,-65.24410417428237
-9120000.0,-65.24841852113342
-9100000.0,-65.29059112903525
-9080000.0,-65.31514957815881
-9060000.0,-65.28219062761886
-9040000.0,-65.28561475936837
-9020000.0,-65.23777625624807
-9000000.0,-65.1074735483259
-8980000.0,-65.24847838796836
-8960000.0,-65.26149787154803
-8940000.0,-65.2481471874063
-8920000.0,-65.25130012248123
-8900000.0,-65.26847793255953
-8880000.0,-65.2470272465208
-8860000.0,-65.22011625879566
-8840000.0,-65.22554729289618
-8820000.0,-65.24201357304952
-8800000.0,-65.28628762082148
-8780000.0,-65.2753048002553
-8760000.0,-65.2905841743258
-8740000.0,-65.32725260964034
-8720000.0,-65.28713499740886
-8700000.0,-65.26252311938815
-8680000.0,-65.25982076705732
-8660000.0,-65.25650267546258
-8640000.0,-65.27880002738766
-8620000.0,-65.25539587732399
-8600000.0,-65.26913683748374
-8580000.0,-65.27215077322322
-8560000.0,-65.27717462131638
-8540000.0,-65.30798285780703
-8520000.0,-65.2943312206851
-8500000.0,-65.28834592094552
-8480000.0,-65.28171771763121
-8460000.0,-65.25524376889467
-8440000.0,-65.2723166415829
-8420000.0,-65.25778222972579
-8400000.0,-65.24780715973125
-8380000.0,-65.29885704320424
-8360000.0,-65.280307027795
-8340000.0,-65.26598900398427
-8320000.0,-65.27602024788303
