Frequency (Hz),PSD (dBm)
-10000000.0,-65.57457297014562
-9980000.0,-65.67278802283519
-9960000.0,-65.69114352424327
-9940000.0,-65.65399919440661
-9920000.0,-65.6280163607427
-9900000.0,-65.60634526636902
-9880000.0,-65.65340919510164
-9860000.0,-65.65627021464846
-9840000.0,-65.67195034821532
-9820000.0,-65.68234623012815
-9800000.0,-65.7034638406944
-9780000.0,-65.68853364191125
-9760000.0,-65.6647347132683
-9740000.0,-65.64098860529651
-9720000.0,-65.62301259241826
-9700000.0,-65.6398372571324
-9680000.0,-65.68005191645759
-9660000.0,-65.72619240843036
-9640000.0,-65.66764327859359
-9620000.0,-65.64043572842553
-9600000.0,-65.65087840931199
-9580000.0,-65.67802582587913
-9560000.0,-65.65879479929086
-9540000.0,-65.66985435253544
-9520000.0,-65.68987493730877
-9500000.0,-65.6671750552186
-9480000.0,-65.66026431492025
-9460000.0,-65.6764341779791
-9440000.0,-65.67607005763573
-9420000.0,-65.6361139121685
-9400000.0,-65.64596804953678
-9380000.0,-65.67317913017638
-9360000.0,-65.69552781915421
-9340000.0,-65.69704825561588
-9320000.0,-65.6920860479088
-9300000.0,-65.69438275947876
-9280000.0,-65.68293295924153
-9260000.0,-65.6939975312274
-9240000.0,-65.68343684248273
-9220000.0,-65.63670759025231
-9200000.0,-65.61945291125672
-9180000.0,-65.64470712585614
-9160000.0,-65.68364608493667
-9140000.0,-65.72632583775162
-9120000.0,-65.69144038150685
-9100000.0,-65.65981280562278
-9080000.0,-65.65583458443831
-9060000.0,-65.65109534375948
-9040000.0,-65.66449973215433
-9020000.0,-65.65023619710999
-9000000.0,-65.58800145998595
-8980000.0,-65.59570448199855
-8960000.0,-65.64715193562441
-8940000.0,-65.6522598326533
-8920000.0,-65.65822641336163
-8900000.0,-65.6643455780558
-8880000.0,-65.6707878688337
-8860000.0,-65.6896224248581
-8840000.0,-65.66409730466212
-8820000.0,-65.67378765266855
-8800000.0,-65.67560098249368
-8780000.0,-65.63804176958975
-8760000.0,-65.67115668258428
-8740000.0,-65.6448703370219
-8720000.0,-65.61332402699391
-8700000.0,-65.62468212589691
-8680000.0,-65.59972548411739
-8660000.0,-65.60209809834907
-8640000.0,-65.64215910917302
-8620000.0,-65.65799926232921
-8600000.0,-65.671735225597
-8580000.0,-65.69760167557114
-8560000.0,-65.67995028234155
-8540000.0,-65.66081917974773
-8520000.0,-65.67108115638109
-8500000.0,-65.70017451657384
-8480000.0,-65.6705979609828
-8460000.0,-65.65624011366522
-8440000.0,-65.62641325406385
-8420000.0,-65.64597502126199
-8400000.0,-65.65490412985194
-8380000.0,-65.64236006994163
-8360000.0,-65.67957839938283
-8340000.0,-65.66601488113817
-8320000.0,-65.65997251574944
-8300000.0,-65.66754444061725
-8280000.0,-65.62938065193944
-8260000.0,-65.66433312177853
-8240000.0,-65.71186121670311
-8220000.0,-65.69001754814343
-8200000.0,-65.68650486070916
-8180000.0,-65.7234280046227
-8160000.0,-65.68245433180407
-8140000.0,-65.67379291940395
-8120000.0,-65.66112426165573
-8100000.0,-65.65534272232333
-8080000.0,-65.66957119347131
-8060000.0,-65.67328543829775
-8040000.0,-65.67521094686794
-8020000.0,-65.65850460972982
-8000000.0,-65.60494054154839
-7980000.0,-65.65503939891568
-7960000.0,-65.65935750608304
-7940000.0,-65.67985712326195
-7920000.0,-65.66398047569392
-7900000.0,-65.6491635904768
-7880000.0,-65.67687195150637
-7860000.0,-65.65440027330312
-7840000.0,-65.62011207764185
-7820000.0,-65.68755694233307
-7800000.0,-65.71185783078612
-7780000.0,-65.71145567948969
-7760000.0,-65.68365519937214
-7740000.0,-65.68167397049776
-7720000.0,-65.68581722071184
-7700000.0,-65.65446078969892
-7680000.0,-65.66347457390722
-7660000.0,-65.66552681268091
-7640000.0,-65.66503197921675
-7620000.0,-65.66910815793632
-7600000.0,-65.68362938405069
-7580000.0,-65.69093422509039
-7560000.0,-65.69677281255312
-7540000.0,-65.71007782950906
-7520000.0,-65.71894250367087
-7500000.0,-65.69319743342827
-7480000.0,-65.70247780974785
-7460000.0,-65.67398744586357
-7440000.0,-65.67750745269068
-7420000.0,-65.66428302888882
-7400000.0,-65.66070472088359
-7380000.0,-65.66459078627969
-7360000.0,-65.67239335677628
-7340000.0,-65.68382753655362
-7320000.0,-65.66693827273797
-7300000.0,-65.68701379018967
-7280000.0,-65.6748067578079
-7260000.0,-65.6981859268738
-7240000.0,-65.69241084903722
-7220000.0,-65.68078183456926
-7200000.0,-65.71167369333789
-7180000.0,-65.69959332181895
-7160000.0,-65.65500349700379
-7140000.0,-65.67397542064163
-7120000.0,-65.67570665322998
-7100000.0,-65.6689494797919
-7080000.0,-65.68484063288798
-7060000.0,-65.68908737016778
-7040000.0,-65.67518494112085
-7020000.0,-65.6447997370054
-7000000.0,-65.66791443499584
-6980000.0,-65.69143597728232
-6960000.0,-65.6694239671227
-6940000.0,-65.69072054677319
-6920000.0,-65.68604634112022
-6900000.0,-65.67705797505764
-6880000.0,-65.67619271005358
-6860000.0,-65.71190289336047
-6840000.0,-65.74104109286414
-6820000.0,-65.70259564901322
-6800000.0,-65.69053645071448
-6780000.0,-65.72645684918825
-6760000.0,-65.71649385041664
-6740000.0,-65.70239060431884
-6720000.0,-65.7129623739147
-6700000.0,-65.6899079497633
-6680000.0,-65.70330458017108
-6660000.0,-65.68624783004995
-6640000.0,-65.68131117887506
-6620000.0,-65.71024260982588
-6600000.0,-65.68885790337882
-6580000.0,-65.65478460602722
-6560000.0,-65.66260727732596
-6540000.0,-65.66982393741077
-6520000.0,-65.67680087613896
-6500000.0,-65.6775178460218
-6480000.0,-65.71243402501773
-6460000.0,-65.70539167808234
-6440000.0,-65.68957764290809
-6420000.0,-65.67673656193567
-6400000.0,-65.67590271494014
-6380000.0,-65.66870178819192
-6360000.0,-65.6786672007106
-6340000.0,-65.7177215223672
