Frequency (Hz),PSD (dBm)
-10000000.0,-65.95536957686997
-9980000.0,-65.99499290573546
-9960000.0,-66.0035668260714
-9940000.0,-65.99557441163358
-9920000.0,-65.9866335876694
-9900000.0,-66.00174082723709
-9880000.0,-66.0143869375115
-9860000.0,-65.9768068619071
-9840000.0,-65.95892548758353
-9820000.0,-65.97243465930354
-9800000.0,-65.96807391819968
-9780000.0,-66.01342130490116
-9760000.0,-65.9815273243095
-9740000.0,-65.9859992296826
-9720000.0,-66.01303574617769
-9700000.0,-65.99778884309569
-9680000.0,-65.97178974135821
-9660000.0,-65.95714863900766
-9640000.0,-65.9725059235633
-9620000.0,-65.99306135294376
-9600000.0,-66.01027389843682
-9580000.0,-65.99401822433221
-9560000.0,-65.97927820792097
-9540000.0,-65.99374931508956
-9520000.0,-66.03983883829807
-9500000.0,-66.02547946010424
-9480000.0,-65.96610604112043
-9460000.0,-65.95569391529648
-9440000.0,-65.98341941535352
-9420000.0,-65.98685075573654
-9400000.0,-65.98069447905617
-9380000.0,-65.97426841065118
-9360000.0,-66.00653751350268
-9340000.0,-66.01926382247701
-9320000.0,-65.97855801088882
-9300000.0,-65.99566239476309
-9280000.0,-65.96911364814648
-9260000.0,-65.97916652916285
-9240000.0,-65.99317180868846
-9220000.0,-66.00622621882397
-9200000.0,-66.0029950320685
-9180000.0,-65.98937881650463
-9160000.0,-65.98716796031174
-9140000.0,-65.96447571145018
-9120000.0,-65.9724866786615
-9100000.0,-65.98235047012923
-9080000.0,-65.97892522490788
-9060000.0,-66.00991269137359
-9040000.0,-65.98124056958963
-9020000.0,-65.96949228861996
-9000000.0,-65.96607360887245
-8980000.0,-65.99571007674383
-8960000.0,-65.98952611435348
-8940000.0,-65.97594369376844
-8920000.0,-65.9836016730826
-8900000.0,-66.01081696309015
-8880000.0,-66.00423603050982
-8860000.0,-66.00266929572746
-8840000.0,-65.98784537652034
-8820000.0,-65.96449319495493
-8800000.0,-65.95721752538503
-8780000.0,-65.95804756029003
-8760000.0,-65.98269287230903
-8740000.0,-65.97597851155517
-8720000.0,-65.95755915969826
-8700000.0,-65.96794679269475
-8680000.0,-65.99357783493352
-8660000.0,-65.99793269210606
-8640000.0,-65.99402081669324
-8620000.0,-65.99622897639162
-8600000.0,-66.01433027318228
-8580000.0,-65.97881758038376
-8560000.0,-65.99372217660485
-8540000.0,-65.9434442603059
-8520000.0,-65.94167649926037
-8500000.0,-66.00276982474304
-8480000.0,-66.02517343198247
-8460000.0,-65.99708224770987
-8440000.0,-66.00439231699636
-8420000.0,-65.96913792662066
-8400000.0,-65.94214892406518
-8380000.0,-65.95335895301824
-8360000.0,-65.98239042115972
-8340000.0,-65.95953373211941
-8320000.0,-65.95994520431566
-8300000.0,-65.9791837701866
-8280000.0,-65.9593180845915
-8260000.0,-65.96875437820381
-8240000.0,-65.98835591253311
-8220000.0,-65.98762051508336
-8200000.0,-65.9831322763943
-8180000.0,-65.98773756704145
-8160000.0,-66.00273903230813
-8140000.0,-66.01286338392177
-8120000.0,-66.01131697505514
-8100000.0,-66.01912527182404
-8080000.0,-65.98720182045732
-8060000.0,-65.97550060017218
-8040000.0,-66.0227126240847
