Frequency (Hz),PSD (dBm)
-10000000.0,-65.74805426220013
-9980000.0,-65.7658593824048
-9960000.0,-65.7694234287567
-9940000.0,-65.781003449429
-9920000.0,-65.77655255239159
-9900000.0,-65.75286545818453
-9880000.0,-65.77254119453714
-9860000.0,-65.75213810921579
-9840000.0,-65.75996273939093
-9820000.0,-65.76941903804689
-9800000.0,-65.77674529602713
-9780000.0,-65.76591931183478
-9760000.0,-65.75720207630393
-9740000.0,-65.75337995695553
-9720000.0,-65.74501746396402
-9700000.0,-65.75533134707891
-9680000.0,-65.74011814604754
-9660000.0,-65.7517951023475
-9640000.0,-65.80399378369715
-9620000.0,-65.82421461018335
-9600000.0,-65.78718361888507
-9580000.0,-65.75585154162418
-9560000.0,-65.75377415960355
-9540000.0,-65.75475333237002
-9520000.0,-65.77317263164984
-9500000.0,-65.78862765024161
-9480000.0,-65.77783652748221
-9460000.0,-65.77347892924409
-9440000.0,-65.78160952127385
-9420000.0,-65.79657611335949
-9400000.0,-65.7835717408816
-9380000.0,-65.78237436842446
-9360000.0,-65.79278711784296
-9340000.0,-65.75235326550464
-9320000.0,-65.76126496155948
-9300000.0,-65.77674224830119
-9280000.0,-65.79117838808307
-9260000.0,-65.79777553032994
-9240000.0,-65.75574968090991
-9220000.0,-65.78386843560568
-9200000.0,-65.80327085581727
-9180000.0,-65.75471757840782
-9160000.0,-65.74240460071553
-9140000.0,-65.74641609549067
-9120000.0,-65.73818601854475
-9100000.0,-65.76982959099169
-9080000.0,-65.7632148977628
-9060000.0,-65.75767630125364
-9040000.0,-65.74882358808713
-9020000.0,-65.73104357152563
-9000000.0,-65.74777029921817
-8980000.0,-65.74653545804337
-8960000.0,-65.74706154296558
-8940000.0,-65.76310487052274
-8920000.0,-65.7839016663502
-8900000.0,-65.76846107479936
-8880000.0,-65.77254427447576
-8860000.0,-65.77979043783907
-8840000.0,-65.77749608208613
-8820000.0,-65.7576339135312
-8800000.0,-65.75794295372464
-8780000.0,-65.76097435152701
-8760000.0,-65.7275778084328
-8740000.0,-65.79517632515622
-8720000.0,-65.77967808504297
-8700000.0,-65.74889903630313
-8680000.0,-65.76393765524284
-8660000.0,-65.77432407599085
-8640000.0,-65.74955057802838
-8620000.0,-65.78990013568476
-8600000.0,-65.80076494313668
-8580000.0,-65.77907787066226
-8560000.0,-65.78450200827069
-8540000.0,-65.79761831502678
-8520000.0,-65.74506213476083
-8500000.0,-65.7484578333171
-8480000.0,-65.76490762448019
-8460000.0,-65.80342031493548
-8440000.0,-65.80519977718788
-8420000.0,-65.78581353931907
-8400000.0,-65.75453660202643
-8380000.0,-65.74680892543812
-8360000.0,-65.74089503820409
-8340000.0,-65.7931040156602
-8320000.0,-65.78264086475971
-8300000.0,-65.78937852942647
-8280000.0,-65.80084935627879
-8260000.0,-65.79355383486894
-8240000.0,-65.75059397313383
-8220000.0,-65.77501805905095
-8200000.0,-65.81390889888209
-8180000.0,-65.82221975555397
-8160000.0,-65.77892498708073
-8140000.0,-65.74822925914839
-8120000.0,-65.76345354613201
-8100000.0,-65.7518597463287
-8080000.0,-65.75469515311225
-8060000.0,-65.79216513512944
-8040000.0,-65.78934336933953
-8020000.0,-65.78476381667629
-8000000.0,-65.74131950084978
-7980000.0,-65.77294859146959
-7960000.0,-65.76832076236018
-7940000.0,-65.75804000737104
-7920000.0,-65.73882294844226
-7900000.0,-65.74140475101446
-7880000.0,-65.76406735066035
-7860000.0,-65.77084332533471
-7840000.0,-65.77298540574189
-7820000.0,-65.76218821124465
-7800000.0,-65.78949037154585
-7780000.0,-65.79502024044768
-7760000.0,-65.78592838703395
-7740000.0,-65.76093140820436
-7720000.0,-65.74277479686428
-7700000.0,-65.74644989053658
-7680000.0,-65.71068432767105
-7660000.0,-65.7388399942335
-7640000.0,-65.73510102430647
-7620000.0,-65.76876963059874
-7600000.0,-65.82413413148738
-7580000.0,-65.78581519362264
-7560000.0,-65.77422829928952
-7540000.0,-65.80414075126399
-7520000.0,-65.75865290474695
-7500000.0,-65.76548361201313
-7480000.0,-65.77379349641853
-7460000.0,-65.76285387482903
-7440000.0,-65.79565620919067
-7420000.0,-65.79824853868476
-7400000.0,-65.76895044055183
-7380000.0,-65.79070719386179
-7360000.0,-65.7987818536105
-7340000.0,-65.78147856878276
-7320000.0,-65.79422045093352
-7300000.0,-65.79520820262778
-7280000.0,-65.79607887866764
-7260000.0,-65.8092083163575
-7240000.0,-65.7749729693831
-7220000.0,-65.77635212501414
-7200000.0,-65.80593688873168
-7180000.0,-65.76790543735282
-7160000.0,-65.78504473625851
-7140000.0,-65.79345747807017
-7120000.0,-65.79966437011305
-7100000.0,-65.78783634479512
-7080000.0,-65.76818921194199
-7060000.0,-65.75501709355186
-7040000.0,-65.74862789442895
-7020000.0,-65.7629979763459
-7000000.0,-65.72770551269264
-6980000.0,-65.73902939108652
-6960000.0,-65.74704003263318
-6940000.0,-65.79189979295344
-6920000.0,-65.79530963916703
-6900000.0,-65.77818731946523
-6880000.0,-65.76953609973188
-6860000.0,-65.77666488037727
-6840000.0,-65.81354552460047
-6820000.0,-65.80226462505878
-6800000.0,-65.80789743309194
-6780000.0,-65.79808727841409
-6760000.0,-65.78026004795655
-6740000.0,-65.80772224117821
-6720000.0,-65.81687406069089
-6700000.0,-65.79760852208662
-6680000.0,-65.79841264704493
-6660000.0,-65.83775173583118
-6640000.0,-65.8185772190225
-6620000.0,-65.81736550441038
-6600000.0,-65.77952566239391
-6580000.0,-65.77192220145865
-6560000.0,-65.77756812776245
-6540000.0,-65.80241900873752
-6520000.0,-65.80693509184796
-6500000.0,-65.77261480143827
-6480000.0,-65.80062787294183
-6460000.0,-65.81402307094177
-6440000.0,-65.80849201076339
-6420000.0,-65.7893519306153
-6400000.0,-65.77294811082398
-6380000.0,-65.8110694965489
-6360000.0,-65.79752395177997
-6340000.0,-65.7454007535944
-6320000.0,-65.77502004308062
-6300000.0,-65.7818914876305
-6280000.0,-65.76011202109186
-6260000.0,-65.7611873687624
-6240000.0,-65.76274837709849
-6220000.0,-65.74081963873786
-6200000.0,-65.75902299465841
-6180000.0,-65.78833316348012
-6160000.0,-65.7824988145458
-6140000.0,-65.7921810754029
-6120000.0,-65.82079953502445
-6100000.0,-65.80083740117901
-6080000.0,-65.77479747964415
-6060000.0,-65.80236870606403
-6040000.0,-65.80694761104743
-6020000.0,-65.79534629857955
