Frequency (Hz),PSD (dBm)
-10000000.0,-66.19172892914916
-9980000.0,-66.19132325891354
-9960000.0,-66.21610550089459
-9940000.0,-66.22515181337562
-9920000.0,-66.17436987856959
-9900000.0,-66.16845219497984
-9880000.0,-66.1912923960592
-9860000.0,-66.2009531210284
-9840000.0,-66.18324311585089
-9820000.0,-66.17494782872728
-9800000.0,-66.19673815312831
-9780000.0,-66.16849770535887
-9760000.0,-66.17628155164951
-9740000.0,-66.16729383942246
-9720000.0,-66.16464527621626
-9700000.0,-66.18451997071892
-9680000.0,-66.1459892022158
-9660000.0,-66.14239419965672
-9640000.0,-66.15652129140221
-9620000.0,-66.15728326543271
-9600000.0,-66.171610087609
-9580000.0,-66.12059328021998
-9560000.0,-66.16190654999143
-9540000.0,-66.19260056833666
-9520000.0,-66.1600046264313
-9500000.0,-66.17355622049044
-9480000.0,-66.20754581797252
-9460000.0,-66.16876505935535
-9440000.0,-66.16829386403265
-9420000.0,-66.18390215468564
-9400000.0,-66.20159213381197
-9380000.0,-66.20859105707375
-9360000.0,-66.19890542775705
-9340000.0,-66.17429671302462
-9320000.0,-66.15458707952101
-9300000.0,-66.15507141238807
-9280000.0,-66.16832983793499
-9260000.0,-66.22813935306026
-9240000.0,-66.27207495648348
-9220000.0,-66.20068571289221
-9200000.0,-66.15510829624576
-9180000.0,-66.15983761812149
-9160000.0,-66.18702883722412
-9140000.0,-66.18511909624485
-9120000.0,-66.13518256444692
-9100000.0,-66.19077939876132
-9080000.0,-66.17740753375062
-9060000.0,-66.19268223902382
-9040000.0,-66.1873450646076
-9020000.0,-66.15659963771344
-9000000.0,-66.14958013251227
-8980000.0,-66.15664556315781
-8960000.0,-66.1667315927231
-8940000.0,-66.17661771107298
-8920000.0,-66.20283844254652
-8900000.0,-66.18028949032745
-8880000.0,-66.17969707055815
-8860000.0,-66.17084542391052
-8840000.0,-66.13436658735132
-8820000.0,-66.14307022517741
-8800000.0,-66.20569122553584
-8780000.0,-66.18598258801184
-8760000.0,-66.16783459836076
-8740000.0,-66.1753072301259
-8720000.0,-66.16563014876309
-8700000.0,-66.16595042138749
-8680000.0,-66.16341620894107
-8660000.0,-66.20866445789088
-8640000.0,-66.21376813196599
-8620000.0,-66.18354118151316
-8600000.0,-66.18751663448974
-8580000.0,-66.1647644274206
-8560000.0,-66.18266493721546
-8540000.0,-66.18457869894424
-8520000.0,-66.19167659583472
-8500000.0,-66.1619009881832
-8480000.0,-66.1603545425182
-8460000.0,-66.15933441211148
-8440000.0,-66.16917157440285
-8420000.0,-66.18280715488295
-8400000.0,-66.19751098622659
-8380000.0,-66.21376910268076
-8360000.0,-66.18542417975529
-8340000.0,-66.19297338539565
-8320000.0,-66.20467319909709
-8300000.0,-66.17683299066998
-8280000.0,-66.16208501987397
-8260000.0,-66.21663880103344
-8240000.0,-66.18915921569885
-8220000.0,-66.21126164569444
-8200000.0,-66.21202108397551
-8180000.0,-66.18135863613712
-8160000.0,-66.20560439153132
-8140000.0,-66.20531380003058
-8120000.0,-66.16875632285222
-8100000.0,-66.17407124498524
-8080000.0,-66.16797037236611
-8060000.0,-66.20700310968934
-8040000.0,-66.2120902981732
-8020000.0,-66.19066345933751
-8000000.0,-66.16699176045441
-7980000.0,-66.15970567081541
