Frecuencia (Hz),PSD
-9521484.375000,-100.500449333661919
-9516601.562500,-100.575027938639195
-9511718.750000,-100.582873438444352
-9506835.937500,-100.568304323424456
-9501953.125000,-100.502392061643278
-9497070.312500,-100.531241154070855
-9492187.500000,-100.505030431472747
-9487304.687500,-100.530885343144291
-9482421.875000,-100.569505734128612
-9477539.062500,-100.576047383697912
-9472656.250000,-100.587480453809547
-9467773.437500,-100.578645934116807
-9462890.625000,-100.540787360635676
-9458007.812500,-100.504767970890114
-9453125.000000,-100.557452665215351
-9448242.187500,-100.526625355753680
-9443359.375000,-100.464755549299184
-9438476.562500,-100.543172666307356
-9433593.750000,-100.581867440786283
-9428710.937500,-100.587959560078346
-9423828.125000,-100.603126306630088
-9418945.312500,-100.523415326733868
-9414062.500000,-100.442364986195685
-9409179.687500,-100.532480396725305
-9404296.875000,-100.585434273435141
-9399414.062500,-100.497126174399142
-9394531.250000,-100.517327050019901
-9389648.437500,-100.505231188766857
-9384765.625000,-100.547857230374063
-9379882.812500,-100.479261214769110
-9375000.000000,-100.479820311564225
-9370117.187500,-100.554723554231970
-9365234.375000,-100.513161771015120
-9360351.562500,-100.481285345431886
-9355468.750000,-100.528468365734227
-9350585.937500,-100.500684686865313
-9345703.125000,-100.527658629849398
-9340820.312500,-100.528722352229707
-9335937.500000,-100.496881999116965
-9331054.687500,-100.588066765289767
-9326171.875000,-100.558392258810414
-9321289.062500,-100.507791138318780
-9316406.250000,-100.480952956499848
-9311523.437500,-100.515784141933153
-9306640.625000,-100.503213449510667
-9301757.812500,-100.463641505124755
-9296875.000000,-100.429613124326650
-9291992.187500,-100.474171006818253
-9287109.375000,-100.496205956962854
-9282226.562500,-100.386644734071936
-9277343.750000,-100.450362810152853
-9272460.937500,-100.482763647080901
-9267578.125000,-100.518770951076334
-9262695.312500,-100.457572455019672
-9257812.500000,-100.388287746483783
-9252929.687500,-100.424003951046203
-9248046.875000,-100.520710131126862
-9243164.062500,-100.537575515548070
-9238281.250000,-100.542593001423683
-9233398.437500,-100.554550793288868
-9228515.625000,-100.570566430666361
-9223632.812500,-100.480209926718913
-9218750.000000,-100.426055395149660
-9213867.187500,-100.436980426269997
-9208984.375000,-100.529293413720609
-9204101.562500,-100.577564008589462
-9199218.750000,-100.426567476538736
-9194335.937500,-100.460424972058675
-9189453.125000,-100.523385362688174
-9184570.312500,-100.551100660654313
-9179687.500000,-100.541139479701812
-9174804.687500,-100.480584764359804
-9169921.875000,-100.526523876501358
-9165039.062500,-100.435479548478497
-9160156.250000,-100.491957159029425
-9155273.437500,-100.559391212395383
-9150390.625000,-100.546685552286903
-9145507.812500,-100.518711657456265
