Frequency (Hz),PSD (dBm)
-10000000.0,-65.71765976457402
-9980000.0,-65.73824553093228
-9960000.0,-65.73155939090398
-9940000.0,-65.7126437023525
-9920000.0,-65.69486830119217
-9900000.0,-65.74259863677995
-9880000.0,-65.71945351296826
-9860000.0,-65.7020679843443
-9840000.0,-65.73296704938768
-9820000.0,-65.73576607288726
-9800000.0,-65.72551194553505
-9780000.0,-65.72231824845923
-9760000.0,-65.72658730703188
-9740000.0,-65.71425471562173
-9720000.0,-65.7386674552647
-9700000.0,-65.72231890990587
-9680000.0,-65.72384419078551
-9660000.0,-65.71995647433812
-9640000.0,-65.72705997887944
-9620000.0,-65.72020343068775
-9600000.0,-65.71626791514824
-9580000.0,-65.72986420242057
-9560000.0,-65.73930363230167
-9540000.0,-65.7498840518
-9520000.0,-65.73770039284257
-9500000.0,-65.70919022422314
-9480000.0,-65.73710691700612
-9460000.0,-65.75029349583271
-9440000.0,-65.73851431284274
-9420000.0,-65.71726945136243
-9400000.0,-65.71839352419752
-9380000.0,-65.68746679792237
-9360000.0,-65.71182756477641
-9340000.0,-65.71188064893185
-9320000.0,-65.71717290674752
-9300000.0,-65.71684424446116
-9280000.0,-65.69449132267414
-9260000.0,-65.73900669499024
-9240000.0,-65.76235923218539
-9220000.0,-65.70555777173698
-9200000.0,-65.72535211061391
-9180000.0,-65.74761261615329
-9160000.0,-65.74923243649992
-9140000.0,-65.73865496614061
-9120000.0,-65.72318727835912
-9100000.0,-65.73120572701566
-9080000.0,-65.7423473553849
-9060000.0,-65.73883027188978
-9040000.0,-65.74870262902783
-9020000.0,-65.70979185467353
-9000000.0,-65.66929890967161
-8980000.0,-65.71661110397278
-8960000.0,-65.71464620281567
-8940000.0,-65.70752907689007
-8920000.0,-65.73038899509183
-8900000.0,-65.71903142516832
-8880000.0,-65.7262175655116
-8860000.0,-65.7202697473952
-8840000.0,-65.70675651135656
-8820000.0,-65.66937918422164
-8800000.0,-65.67265488520482
-8780000.0,-65.6643595691753
-8760000.0,-65.71285435558275
-8740000.0,-65.702454570703
-8720000.0,-65.71714179635839
-8700000.0,-65.72155523155841
-8680000.0,-65.72927532686361
-8660000.0,-65.71099034842396
-8640000.0,-65.69826077015793
-8620000.0,-65.72785081665114
-8600000.0,-65.74062039921132
-8580000.0,-65.71569983385862
-8560000.0,-65.73276787363292
-8540000.0,-65.72548237610388
-8520000.0,-65.72262184929389
-8500000.0,-65.71928524970987
-8480000.0,-65.70470276198735
-8460000.0,-65.69543534878959
-8440000.0,-65.68549055180235
-8420000.0,-65.67528355963694
-8400000.0,-65.6893400600903
-8380000.0,-65.72977217396958
-8360000.0,-65.72857261860204
-8340000.0,-65.73876875012922
-8320000.0,-65.70326821220684
-8300000.0,-65.73130312648715
-8280000.0,-65.76432881149147
-8260000.0,-65.74743705909627
-8240000.0,-65.71612925841039
-8220000.0,-65.74735985130465
-8200000.0,-65.73173204013796
-8180000.0,-65.73435997868498
-8160000.0,-65.73632293763593
-8140000.0,-65.74002246622834
-8120000.0,-65.77311302547591
-8100000.0,-65.73428494479664
-8080000.0,-65.7537482596261
-8060000.0,-65.75537427637346
-8040000.0,-65.72735819030751
-8020000.0,-65.73635879834254
-8000000.0,-65.70791932451584
-7980000.0,-65.69563572930748
-7960000.0,-65.70542124503237
-7940000.0,-65.72579242474818
-7920000.0,-65.71619495239123
-7900000.0,-65.71285060386376
-7880000.0,-65.70958510832315
-7860000.0,-65.68548199600781
-7840000.0,-65.69765788281398
-7820000.0,-65.72541479368753
-7800000.0,-65.74289912948767
-7780000.0,-65.73411466084062
-7760000.0,-65.6919988658726
-7740000.0,-65.71901641073553
-7720000.0,-65.72912232046968
-7700000.0,-65.72855337035448
-7680000.0,-65.69864119223944
-7660000.0,-65.68239499402459
-7640000.0,-65.70892157137533
-7620000.0,-65.71272387496731
-7600000.0,-65.72143051688876
-7580000.0,-65.74358096060061
-7560000.0,-65.70485733370346
-7540000.0,-65.7075453812789
-7520000.0,-65.736932800939
-7500000.0,-65.7272577967645
-7480000.0,-65.72433624616961
-7460000.0,-65.71334931836994
-7440000.0,-65.69239774351536
-7420000.0,-65.71110198755741
-7400000.0,-65.75235576064551
-7380000.0,-65.76993736929245
-7360000.0,-65.74778395940714
-7340000.0,-65.73759310112959
-7320000.0,-65.75871575247525
-7300000.0,-65.73704210499453
-7280000.0,-65.72605526908576
-7260000.0,-65.73635384844391
-7240000.0,-65.704861990349
-7220000.0,-65.71159999931533
-7200000.0,-65.72098806804621
-7180000.0,-65.74843704123369
-7160000.0,-65.76018977579118
-7140000.0,-65.73668277821442
-7120000.0,-65.73974617563091
-7100000.0,-65.74053285568492
-7080000.0,-65.77278533064239
-7060000.0,-65.76868571897938
-7040000.0,-65.79655343763454
-7020000.0,-65.7528100586315
-7000000.0,-65.72157273846162
-6980000.0,-65.73517542490335
-6960000.0,-65.74574375795008
-6940000.0,-65.75693167670153
-6920000.0,-65.76316881281231
-6900000.0,-65.7475755587264
-6880000.0,-65.76492585432005
-6860000.0,-65.74363972873506
-6840000.0,-65.75459769693839
-6820000.0,-65.76849835813552
-6800000.0,-65.79438045275319
-6780000.0,-65.780064422056
-6760000.0,-65.73644738933945
-6740000.0,-65.76907285591876
-6720000.0,-65.75219788917802
-6700000.0,-65.73969712441338
-6680000.0,-65.78988761567169
-6660000.0,-65.76440870567531
-6640000.0,-65.74330104793134
-6620000.0,-65.76623950325285
-6600000.0,-65.78270548269948
-6580000.0,-65.76942507031775
-6560000.0,-65.74631922923467
-6540000.0,-65.7488834147374
-6520000.0,-65.78226565908781
-6500000.0,-65.75562499823984
-6480000.0,-65.75103127443508
-6460000.0,-65.73201595093522
-6440000.0,-65.71523078473243
-6420000.0,-65.71673965147473
-6400000.0,-65.74129845083667
-6380000.0,-65.72036927842116
-6360000.0,-65.7310827869811
-6340000.0,-65.76753949740439
-6320000.0,-65.75159201955384
-6300000.0,-65.72921322175912
-6280000.0,-65.71785818930016
-6260000.0,-65.7251005388475
-6240000.0,-65.73725156846602
-6220000.0,-65.7635578564919
-6200000.0,-65.75861914087494
-6180000.0,-65.76627994234299
-6160000.0,-65.76093998320533
-6140000.0,-65.74062565401229
-6120000.0,-65.76149074451916
-6100000.0,-65.76708616242075
-6080000.0,-65.73107612010249
-6060000.0,-65.75640261472756
-6040000.0,-65.7517946985743
-6020000.0,-65.715927058858
-6000000.0,-65.68394876169185
-5980000.0,-65.72487271357384
-5960000.0,-65.74011408241824
-5940000.0,-65.69200214775756
-5920000.0,-65.69530265103417
-5900000.0,-65.74294229556443
-5880000.0,-65.72791755847003
-5860000.0,-65.74977650865841
-5840000.0,-65.7776750239695
-5820000.0,-65.8038486014094
-5800000.0,-65.80473555359129
-5780000.0,-65.73713760815463
-5760000.0,-65.75808535415592
-5740000.0,-65.76733959549483
-5720000.0,-65.75918170028606
-5700000.0,-65.78683561915457
-5680000.0,-65.77435274242198
-5660000.0,-65.79761557099773
-5640000.0,-65.79660990913085
-5620000.0,-65.78897745335983
-5600000.0,-65.789124718032
-5580000.0,-65.76316894758648
-5560000.0,-65.78225682087509
-5540000.0,-65.78160516698796
-5520000.0,-65.75619779331275
-5500000.0,-65.74641364389979
-5480000.0,-65.77689607589656
-5460000.0,-65.81534383536078
-5440000.0,-65.81729956507766
-5420000.0,-65.82652132796728
-5400000.0,-65.78681857405275
-5380000.0,-65.76430171365661
-5360000.0,-65.77457840680768
-5340000.0,-65.77769136909997
-5320000.0,-65.7638479839179
-5300000.0,-65.78620705718208
-5280000.0,-65.80802146343957
-5260000.0,-65.81272975124466
-5240000.0,-65.75669384489817
-5220000.0,-65.75314656355863
-5200000.0,-65.77468226387552
-5180000.0,-65.80714080223372
-5160000.0,-65.78651961280234
-5140000.0,-65.78643501062076
-5120000.0,-65.80447915223226
-5100000.0,-65.77564185516242
-5080000.0,-65.75350784699019
-5060000.0,-65.80564077212325
-5040000.0,-65.79349226593521
-5020000.0,-65.7911803338816
-5000000.0,-65.77399879764324
-4980000.0,-65.78213530540354
-4960000.0,-65.80045911577605
-4940000.0,-65.81502568828071
-4920000.0,-65.78005107725657
-4900000.0,-65.78251581891179
-4880000.0,-65.75560489531519
-4860000.0,-65.77345386395051
-4840000.0,-65.83993791865011
-4820000.0,-65.82168577795545
-4800000.0,-65.80381631433687
-4780000.0,-65.80988623739455
-4760000.0,-65.84415836653403
-4740000.0,-65.8258980977848
-4720000.0,-65.80219714434071
-4700000.0,-65.78869553158833
-4680000.0,-65.80713529764334
-4660000.0,-65.85615092959402
-4640000.0,-65.86804568708172
-4620000.0,-65.82755180311332
