Frequency (Hz),PSD (dBm)
-10000000.0,-65.19148760607807
-9980000.0,-65.46895756342026
-9960000.0,-65.54785701890142
-9940000.0,-65.54576594618807
-9920000.0,-65.55912498360163
-9900000.0,-65.56196088027606
-9880000.0,-65.54593426642376
-9860000.0,-65.5771986541971
-9840000.0,-65.56981641709646
-9820000.0,-65.55596148048832
-9800000.0,-65.55154008916915
-9780000.0,-65.53441570406551
-9760000.0,-65.52489439340465
-9740000.0,-65.5360971352554
-9720000.0,-65.55295222207708
-9700000.0,-65.55364441582987
-9680000.0,-65.5476739445128
-9660000.0,-65.51640037095642
-9640000.0,-65.5773915170223
-9620000.0,-65.55889421602186
-9600000.0,-65.57297661076095
-9580000.0,-65.59788967433127
-9560000.0,-65.5865497866593
-9540000.0,-65.5894188084053
-9520000.0,-65.58470971048197
-9500000.0,-65.61032877985551
-9480000.0,-65.5989451687935
-9460000.0,-65.55421969364555
-9440000.0,-65.55815521140654
-9420000.0,-65.5374829436306
-9400000.0,-65.4977524702031
-9380000.0,-65.53180977328022
-9360000.0,-65.57814536185239
-9340000.0,-65.59858145575495
-9320000.0,-65.53246376063369
-9300000.0,-65.50836863133584
-9280000.0,-65.54046611858888
-9260000.0,-65.54964392901451
-9240000.0,-65.56862316889199
-9220000.0,-65.55573191872007
-9200000.0,-65.54786587301243
-9180000.0,-65.53376862396814
-9160000.0,-65.5265675068006
-9140000.0,-65.5544990971145
-9120000.0,-65.55132460349532
-9100000.0,-65.54976830761058
-9080000.0,-65.54693770910094
-9060000.0,-65.53921530863826
-9040000.0,-65.56154960177203
-9020000.0,-65.57126838577963
-9000000.0,-65.53247759250797
-8980000.0,-65.53931255239213
-8960000.0,-65.53927671939519
-8940000.0,-65.55616348050151
-8920000.0,-65.55022445959455
-8900000.0,-65.57423985453022
-8880000.0,-65.55659968425209
-8860000.0,-65.56171542617204
-8840000.0,-65.5328698280603
-8820000.0,-65.52706363666357
-8800000.0,-65.52153176896262
-8780000.0,-65.53099937893548
-8760000.0,-65.55079293182749
-8740000.0,-65.53183199368948
-8720000.0,-65.58224970137678
-8700000.0,-65.56861473940452
-8680000.0,-65.51149143900085
-8660000.0,-65.50543423180847
