Frequency (Hz),PSD (dBm)
-10000000.0,-65.36327829071566
-9980000.0,-66.02526347150443
-9960000.0,-66.30427809607603
-9940000.0,-66.3012202616685
-9920000.0,-66.30602572763159
-9900000.0,-66.29452626176419
-9880000.0,-66.31442647867206
-9860000.0,-66.27103200112305
-9840000.0,-66.2962833148717
-9820000.0,-66.28575774674353
-9800000.0,-66.2430065536017
-9780000.0,-66.24175846073452
-9760000.0,-66.25693274972413
-9740000.0,-66.27375881772959
-9720000.0,-66.30233703675812
-9700000.0,-66.33702756927275
-9680000.0,-66.34716615876488
-9660000.0,-66.31460271528827
-9640000.0,-66.30668335016466
-9620000.0,-66.31234520453683
-9600000.0,-66.29544675894208
-9580000.0,-66.31629199307548
-9560000.0,-66.34615833346801
-9540000.0,-66.31416743589212
-9520000.0,-66.28917475042951
-9500000.0,-66.3099946559207
-9480000.0,-66.30261415839614
-9460000.0,-66.31517976256058
-9440000.0,-66.31511243983162
-9420000.0,-66.31779902278778
-9400000.0,-66.30863849867208
-9380000.0,-66.31746980577803
-9360000.0,-66.31385592717773
-9340000.0,-66.28778430502807
-9320000.0,-66.30258597142817
-9300000.0,-66.27383591988708
-9280000.0,-66.28186128226142
-9260000.0,-66.29397892945066
-9240000.0,-66.30503244243555
-9220000.0,-66.33913667147775
-9200000.0,-66.33350563678988
-9180000.0,-66.31137324362255
-9160000.0,-66.2954056720696
-9140000.0,-66.3133016386446
-9120000.0,-66.31627828235787
-9100000.0,-66.30899013810262
-9080000.0,-66.32151313025093
-9060000.0,-66.30051734631832
-9040000.0,-66.26994268530908
-9020000.0,-66.2401652476767
-9000000.0,-66.24239774802723
-8980000.0,-66.24675773448777
-8960000.0,-66.27694424746275
-8940000.0,-66.28525184866298
-8920000.0,-66.3048251183545
-8900000.0,-66.32319590269637
-8880000.0,-66.29477772400243
-8860000.0,-66.29008255184038
-8840000.0,-66.27132080354205
-8820000.0,-66.27669209055583
-8800000.0,-66.28081335529363
-8780000.0,-66.290427124023
-8760000.0,-66.32584190703201
-8740000.0,-66.32323531246482
-8720000.0,-66.29162381990584
-8700000.0,-66.26309312424664
-8680000.0,-66.25912076254721
-8660000.0,-66.25483700102288
-8640000.0,-66.30166635826426
-8620000.0,-66.29324160108999
