Frequency (Hz),PSD (dBm)
-10000000.0,-66.01174533088621
-9980000.0,-65.976702602957
-9960000.0,-66.00782970002514
-9940000.0,-66.022876568341
-9920000.0,-65.99231886334678
-9900000.0,-66.031086433429
-9880000.0,-66.01273890865994
-9860000.0,-66.0014155355094
-9840000.0,-65.97820005788655
-9820000.0,-65.97354929246134
-9800000.0,-65.9871818222271
-9780000.0,-65.98588213219058
-9760000.0,-65.96710829593376
-9740000.0,-65.9585851170503
-9720000.0,-65.97900047900511
-9700000.0,-66.0109108886912
-9680000.0,-66.02432261907327
-9660000.0,-66.02614392448012
-9640000.0,-66.00149265244038
-9620000.0,-66.03279225970049
-9600000.0,-66.05359608301943
-9580000.0,-66.0589266286179
-9560000.0,-66.02832749859247
-9540000.0,-66.02993034154026
-9520000.0,-66.0200189296971
-9500000.0,-66.00350854844287
-9480000.0,-66.01680553529204
-9460000.0,-66.02077764733386
-9440000.0,-66.019635112699
-9420000.0,-66.01937227010521
-9400000.0,-66.01489884948664
-9380000.0,-66.01037296125378
-9360000.0,-66.01593466924542
-9340000.0,-66.04579892477021
-9320000.0,-66.04181265466639
-9300000.0,-65.999959132561
-9280000.0,-65.9625589097331
-9260000.0,-65.99802327839677
-9240000.0,-66.01010871718054
-9220000.0,-66.02448730569621
-9200000.0,-66.02687158079148
-9180000.0,-66.00846659086925
-9160000.0,-65.98442140716341
-9140000.0,-65.99771252706017
-9120000.0,-66.00172072530619
-9100000.0,-65.9730905346708
-9080000.0,-65.99846127811097
-9060000.0,-66.0021676751134
-9040000.0,-66.00532181928011
-9020000.0,-66.02535267223215
-9000000.0,-65.97550267606577
-8980000.0,-66.01491934633052
-8960000.0,-66.06224988577634
-8940000.0,-66.0659075889154
-8920000.0,-66.04081916751761
-8900000.0,-66.02814762000966
-8880000.0,-65.9943242845652
-8860000.0,-66.0131715305894
-8840000.0,-65.9957460849974
-8820000.0,-65.97867700622228
-8800000.0,-66.00510889371182
-8780000.0,-66.00663166522526
-8760000.0,-65.98280098877001
-8740000.0,-66.01929236394683
-8720000.0,-65.98564130600016
-8700000.0,-65.97407471505069
-8680000.0,-65.97528712249246
-8660000.0,-66.00065101664941
-8640000.0,-66.00508311704507
-8620000.0,-65.98917931268198
-8600000.0,-65.98249561827959
-8580000.0,-66.00555874781732
-8560000.0,-65.98084856600563
-8540000.0,-66.00756018244357
-8520000.0,-65.97878866080202
-8500000.0,-65.96261408431613
-8480000.0,-66.00653368028723
-8460000.0,-66.02686354545078
-8440000.0,-66.03880485886272
-8420000.0,-66.00605318573963
-8400000.0,-66.00625127659026
-8380000.0,-65.99814119680073
-8360000.0,-66.03819739810616
-8340000.0,-66.01223022822319
-8320000.0,-66.02116988951846
-8300000.0,-66.04870874904796
-8280000.0,-66.05632796536652
-8260000.0,-66.04845310419643
-8240000.0,-66.01511633702864
-8220000.0,-66.04198401427867
-8200000.0,-66.02210876486978
-8180000.0,-66.01090895935153
-8160000.0,-66.01330386746241
-8140000.0,-66.0145624875629
-8120000.0,-66.01128463956965
-8100000.0,-66.02255799790142
-8080000.0,-66.01572788044024
-8060000.0,-66.01022899055668
-8040000.0,-65.98579406191286
-8020000.0,-66.00584834468597
-8000000.0,-66.01105754471403
-7980000.0,-65.99707533027961
-7960000.0,-65.99482999410492
-7940000.0,-66.02306388006468
-7920000.0,-66.01251408920699
-7900000.0,-66.03290101547017
-7880000.0,-66.04102182438126
-7860000.0,-66.02648429647948
-7840000.0,-66.02359983385121
-7820000.0,-66.03323603317244
-7800000.0,-66.01373542317111
-7780000.0,-66.0239199535454
-7760000.0,-66.01687049280115
-7740000.0,-66.01113786462084
-7720000.0,-66.00706716297141
-7700000.0,-65.99603794040297
-7680000.0,-66.02216206415417
-7660000.0,-66.01926495203394
-7640000.0,-65.9959142125296
-7620000.0,-66.00174249496816
-7600000.0,-65.98755170622792
-7580000.0,-65.95556877894968
-7560000.0,-65.9873182378229
-7540000.0,-66.00997903126157
-7520000.0,-66.05460899003232
-7500000.0,-66.07842481918418
-7480000.0,-66.03638331535518
-7460000.0,-66.01134783780992
-7440000.0,-66.02573268685316
-7420000.0,-65.98780598241359
-7400000.0,-66.00412552286505
-7380000.0,-65.97438391623969
-7360000.0,-65.96005725215906
-7340000.0,-65.98639171565326
-7320000.0,-66.01726651671287
-7300000.0,-66.01933181943318
-7280000.0,-66.05526690699944
-7260000.0,-66.05524925077891
-7240000.0,-66.02688996873113
-7220000.0,-66.02087172165858
-7200000.0,-65.9831382802926
-7180000.0,-66.02110811704269
-7160000.0,-66.03423329995005
-7140000.0,-66.03613325971268
-7120000.0,-66.01808620972108
-7100000.0,-66.04250474230552
-7080000.0,-66.00839606848047
-7060000.0,-66.0288952512887
-7040000.0,-66.05776665406752
-7020000.0,-66.04270489118309
-7000000.0,-66.05356717636595
-6980000.0,-66.02459417235922
-6960000.0,-65.97832671054019
-6940000.0,-65.99935457998933
-6920000.0,-65.99931493628976
-6900000.0,-66.01681453381313
-6880000.0,-66.04812679998268
-6860000.0,-66.0293212536742
-6840000.0,-66.04939452214342
-6820000.0,-66.09479051189743
-6800000.0,-66.10318167291055
-6780000.0,-66.07827997712312
-6760000.0,-66.04764662531389
-6740000.0,-66.0453591839115
-6720000.0,-66.05541898338905
-6700000.0,-66.02072695561633
-6680000.0,-66.01949505613162
-6660000.0,-66.02567690725466
-6640000.0,-66.00231166441137
-6620000.0,-66.04353121871591
-6600000.0,-66.03787129882663
-6580000.0,-66.04312208031659
-6560000.0,-66.05871106806069
-6540000.0,-66.02209564256802
-6520000.0,-66.019260700079
-6500000.0,-66.02189770200576
-6480000.0,-66.01026068798183
-6460000.0,-66.03840711084578
-6440000.0,-66.02852675034572
-6420000.0,-66.08212897342922
-6400000.0,-66.05252446353734
-6380000.0,-66.04177524394566
-6360000.0,-66.04053143519974
-6340000.0,-65.99873586464044
-6320000.0,-66.03031637109405
-6300000.0,-66.03074901807956
-6280000.0,-66.00298107756662
-6260000.0,-66.01099842126415
-6240000.0,-66.03804599427858
-6220000.0,-66.04854174270744
-6200000.0,-66.04122119543933
-6180000.0,-66.00945950888973
-6160000.0,-66.01078819363897
-6140000.0,-66.04730203821887
-6120000.0,-66.04430196513584
-6100000.0,-66.053224451378
-6080000.0,-66.05168727360156
-6060000.0,-66.03781539995002
-6040000.0,-66.02216491834692
-6020000.0,-66.01225008511177
-6000000.0,-66.01513311343167
-5980000.0,-66.06671761723953
-5960000.0,-66.05994292429594
-5940000.0,-66.0513882755801
-5920000.0,-66.04527239625823
-5900000.0,-66.04384787372338
-5880000.0,-66.04566022808174
-5860000.0,-66.07500800003402
-5840000.0,-66.06144228692229
-5820000.0,-66.03380303402747
-5800000.0,-66.05164894360361
-5780000.0,-66.06675327788886
-5760000.0,-66.08249004259616
-5740000.0,-66.06361625096821
-5720000.0,-66.06000927440002
-5700000.0,-66.09632971712551
-5680000.0,-66.05787523335317
-5660000.0,-66.01753296343107
