Frequency (Hz),PSD (dBm)
-10000000.0,-65.66770936184304
-9980000.0,-65.68892648260979
-9960000.0,-65.68760319876586
-9940000.0,-65.66023864123208
-9920000.0,-65.65961362051672
-9900000.0,-65.67374463153824
-9880000.0,-65.6609005510608
-9860000.0,-65.64660130002505
-9840000.0,-65.65347264551846
-9820000.0,-65.62214528335545
-9800000.0,-65.67391868091732
-9780000.0,-65.6517466832616
-9760000.0,-65.64173233765882
-9740000.0,-65.67423538733148
-9720000.0,-65.65428040726661
-9700000.0,-65.61058349212077
-9680000.0,-65.62997004424648
-9660000.0,-65.6214689435154
-9640000.0,-65.6412290848286
-9620000.0,-65.6500550408186
-9600000.0,-65.6309232966373
-9580000.0,-65.62190019244306
-9560000.0,-65.65149148186964
-9540000.0,-65.66376068273873
-9520000.0,-65.68460493456274
-9500000.0,-65.63197811068898
-9480000.0,-65.63395336202515
-9460000.0,-65.65889001916035
-9440000.0,-65.67317033903254
-9420000.0,-65.6641380041283
-9400000.0,-65.67574915758021
-9380000.0,-65.64601608662366
-9360000.0,-65.64642750000519
-9340000.0,-65.65404488141752
-9320000.0,-65.65554179034197
-9300000.0,-65.64805803529458
-9280000.0,-65.63425042467684
-9260000.0,-65.59668857274731
-9240000.0,-65.673289710959
-9220000.0,-65.72682233962477
-9200000.0,-65.6616456107142
-9180000.0,-65.65116309275388
-9160000.0,-65.65819870294918
-9140000.0,-65.62932363513167
-9120000.0,-65.62658184821865
-9100000.0,-65.64381481405772
-9080000.0,-65.65516186137104
-9060000.0,-65.70050425551088
-9040000.0,-65.69474905662558
-9020000.0,-65.62756514684985
-9000000.0,-65.61533373722371
-8980000.0,-65.63518745942719
-8960000.0,-65.64234106761094
-8940000.0,-65.64666754709836
-8920000.0,-65.62412218794314
-8900000.0,-65.6418524142161
-8880000.0,-65.63176244941324
-8860000.0,-65.63155319870391
-8840000.0,-65.63230927026939
-8820000.0,-65.63497120728057
-8800000.0,-65.6428239292437
-8780000.0,-65.62815057648329
-8760000.0,-65.6350505856713
-8740000.0,-65.61443821267532
-8720000.0,-65.64007814258316
-8700000.0,-65.66357446549657
-8680000.0,-65.61037146240841
-8660000.0,-65.61620935835177
-8640000.0,-65.64036391369898
-8620000.0,-65.67851432022923
-8600000.0,-65.69414504126462
-8580000.0,-65.63940045996365
-8560000.0,-65.63893002299268
-8540000.0,-65.62015778220909
-8520000.0,-65.60785283096902
-8500000.0,-65.6009014639932
-8480000.0,-65.62433056099971
-8460000.0,-65.66639977023293
-8440000.0,-65.65500120717624
-8420000.0,-65.69707538540592
