Frequency (Hz),PSD (dBm)
-10000000.0,-58.013816070820845
-9980000.0,-61.57450802047229
-9960000.0,-64.35819655057423
-9940000.0,-64.73561570970564
-9920000.0,-64.04796168033407
-9900000.0,-63.420013293306084
-9880000.0,-65.28834774797943
-9860000.0,-65.68698505249844
-9840000.0,-65.99715980436676
-9820000.0,-66.29476192938444
-9800000.0,-66.4586797371233
-9780000.0,-66.88248235365711
-9760000.0,-67.06900201246627
-9740000.0,-67.21049415617591
-9720000.0,-67.29133128283218
-9700000.0,-67.36644471316097
-9680000.0,-67.43653982251588
-9660000.0,-67.46173495064878
-9640000.0,-67.50753196985914
-9620000.0,-67.52092271482314
-9600000.0,-67.47983864342612
-9580000.0,-67.45589472141658
-9560000.0,-67.5020918827438
-9540000.0,-67.54497068668978
-9520000.0,-67.566749545819
-9500000.0,-67.5535779893627
-9480000.0,-67.56548670452672
-9460000.0,-67.53785623487664
-9440000.0,-67.57596918724612
-9420000.0,-67.55378104920526
-9400000.0,-67.56101459895027
-9380000.0,-67.54165608053638
-9360000.0,-67.50790748717648
-9340000.0,-67.49195555786943
-9320000.0,-67.48916916984504
-9300000.0,-67.5183505080821
-9280000.0,-67.49896809487437
-9260000.0,-67.53283210333825
-9240000.0,-67.53644815493504
-9220000.0,-67.53460601822488
-9200000.0,-67.59658128739287
-9180000.0,-67.55631658279184
-9160000.0,-67.5530353648817
-9140000.0,-67.5694925252372
-9120000.0,-67.58123284746462
-9100000.0,-67.62237329992439
-9080000.0,-67.61213882187866
-9060000.0,-67.62919645076587
-9040000.0,-67.63155143871124
-9020000.0,-67.58729811581097
-9000000.0,-67.55746600418463
-8980000.0,-67.5988274502458
-8960000.0,-67.60028698165152
-8940000.0,-67.57036808935914
-8920000.0,-67.55418395751511
-8900000.0,-67.54709718803105
-8880000.0,-67.54245101342883
-8860000.0,-67.55648425855453
-8840000.0,-67.44673808240653
-8820000.0,-67.41123319013349
-8800000.0,-67.5424604200119
-8780000.0,-67.55351890637675
-8760000.0,-67.56506600453369
-8740000.0,-67.59651332827457
-8720000.0,-67.6180315633689
-8700000.0,-67.61551136507269
-8680000.0,-67.5791957009926
-8660000.0,-67.56554150794399
-8640000.0,-67.54858774360694
-8620000.0,-67.57932089477578
-8600000.0,-67.58716717025081
-8580000.0,-67.58593363808907
-8560000.0,-67.59682341286948
-8540000.0,-67.5451522484928
-8520000.0,-67.49832980173322
-8500000.0,-67.43236348891165
-8480000.0,-67.38773121176156
-8460000.0,-67.38535744942996
-8440000.0,-67.3185768929902
-8420000.0,-67.28202427519261
-8400000.0,-67.25383230151913
-8380000.0,-67.2338443026684
-8360000.0,-67.19419020611275
-8340000.0,-67.11529167548692
-8320000.0,-67.05835043035346
-8300000.0,-66.98943924545067
-8280000.0,-66.88290239339011
-8260000.0,-66.78485000966819
-8240000.0,-66.68613356594827
-8220000.0,-66.4916642329807
-8200000.0,-66.16513189235229
-8180000.0,-66.00350624917924
-8160000.0,-65.67442899352483
-8140000.0,-65.4088305670765
-8120000.0,-64.9858407049916
-8100000.0,-63.33413005621886
-8080000.0,-63.6725546028564
-8060000.0,-64.28267101246837
-8040000.0,-64.1025643906376
-8020000.0,-61.046112400158854
-8000000.0,-57.34708638839309
-7980000.0,-61.08599712004289
-7960000.0,-63.94038134445995
-7940000.0,-63.935360311262606
-7920000.0,-63.46538051092911
-7900000.0,-63.254202270599265
-7880000.0,-65.06868224801224
-7860000.0,-65.63541215399579
-7840000.0,-66.03173270474623
-7820000.0,-66.42338965655141
-7800000.0,-66.6002189488693
