Frequency (Hz),PSD (dBm)
-10000000.0,-65.80445982986764
-9980000.0,-65.82147679470488
-9960000.0,-65.83273180616763
-9940000.0,-65.81712334610218
-9920000.0,-65.81840683684413
-9900000.0,-65.80623044252886
-9880000.0,-65.78030018970759
-9860000.0,-65.800922082609
-9840000.0,-65.82326318124659
-9820000.0,-65.86126361311844
-9800000.0,-65.84757552839613
-9780000.0,-65.83719327319469
-9760000.0,-65.86116969329755
-9740000.0,-65.81915334202284
-9720000.0,-65.8025891662532
-9700000.0,-65.82988325176336
-9680000.0,-65.83306344495915
-9660000.0,-65.84295909225547
-9640000.0,-65.86250923404975
-9620000.0,-65.83943729140987
-9600000.0,-65.83947101081684
-9580000.0,-65.82871973649088
-9560000.0,-65.8012245997419
-9540000.0,-65.84468680181988
-9520000.0,-65.84084314108574
-9500000.0,-65.83608228879363
-9480000.0,-65.8482329257604
-9460000.0,-65.82292636452505
-9440000.0,-65.82635079780007
-9420000.0,-65.8499103337721
-9400000.0,-65.83990229528091
-9380000.0,-65.84399664523025
-9360000.0,-65.81876533122818
-9340000.0,-65.82260949493518
-9320000.0,-65.84035848185677
-9300000.0,-65.8473578058458
-9280000.0,-65.81890702479421
-9260000.0,-65.81144983894787
-9240000.0,-65.81249097004108
-9220000.0,-65.83395588499332
-9200000.0,-65.83323173660642
-9180000.0,-65.82047922277015
-9160000.0,-65.81474463897514
-9140000.0,-65.806048393969
-9120000.0,-65.81043156092825
-9100000.0,-65.80388354997538
-9080000.0,-65.83305640629544
-9060000.0,-65.7883752559128
-9040000.0,-65.80018979141323
-9020000.0,-65.7688797009596
-9000000.0,-65.77679130613491
-8980000.0,-65.80762529259711
-8960000.0,-65.83093427529494
-8940000.0,-65.82855851336056
-8920000.0,-65.8080367338372
-8900000.0,-65.81156731124362
-8880000.0,-65.8302477083834
-8860000.0,-65.8154708746727
-8840000.0,-65.80210584502984
-8820000.0,-65.82528365055767
-8800000.0,-65.82282833029352
-8780000.0,-65.79934178504338
-8760000.0,-65.79130326738135
-8740000.0,-65.77445276692161
-8720000.0,-65.80740129165241
-8700000.0,-65.8417763474709
-8680000.0,-65.83297573133021
-8660000.0,-65.79143324849969
-8640000.0,-65.81059026633481
-8620000.0,-65.8048466155152
-8600000.0,-65.79694187497553
-8580000.0,-65.80148235482127
-8560000.0,-65.8122833759022
-8540000.0,-65.82604625909578
-8520000.0,-65.78939450333738
-8500000.0,-65.81277231887482
-8480000.0,-65.81408222018369
-8460000.0,-65.79474396883907
-8440000.0,-65.78528983629906
-8420000.0,-65.77233157146142
-8400000.0,-65.80264599864913
-8380000.0,-65.82074086938856
-8360000.0,-65.81818094730838
-8340000.0,-65.82609304889809
-8320000.0,-65.8392793156037
-8300000.0,-65.80724417047081
-8280000.0,-65.80682525620473
-8260000.0,-65.80468069867352
-8240000.0,-65.8056241648626
-8220000.0,-65.81634056338315
-8200000.0,-65.80536606725016
-8180000.0,-65.83004503851014
-8160000.0,-65.83681547482303
-8140000.0,-65.82507685590487
-8120000.0,-65.81859310006473
-8100000.0,-65.79225491822191
-8080000.0,-65.79031623175264
-8060000.0,-65.80922272898617
-8040000.0,-65.80324311644502
-8020000.0,-65.8127883167414
-8000000.0,-65.7936132337004
-7980000.0,-65.8103946091171
-7960000.0,-65.83901991399152
-7940000.0,-65.8513290558056
-7920000.0,-65.832697395724
-7900000.0,-65.82039528799075
-7880000.0,-65.83391936965305
-7860000.0,-65.82462787033577
-7840000.0,-65.8092883420157
-7820000.0,-65.79874144648099
-7800000.0,-65.8102120851624
-7780000.0,-65.81374178400439
-7760000.0,-65.80287225176824
-7740000.0,-65.83360591299048
-7720000.0,-65.84401036633575
-7700000.0,-65.85083057980768
-7680000.0,-65.8462164386186
-7660000.0,-65.80460662002176
-7640000.0,-65.77458924071163
-7620000.0,-65.82654184097233
-7600000.0,-65.84511914107776
-7580000.0,-65.81198002150181
-7560000.0,-65.81120122616561
-7540000.0,-65.8312568177882
-7520000.0,-65.81833449089604
-7500000.0,-65.80974922826059
-7480000.0,-65.82013363406512
