Frequency (Hz),PSD (dBm)
-10000000.0,-66.04454165384719
-9980000.0,-66.1098907638387
-9960000.0,-66.16945986006571
-9940000.0,-66.13549808976626
-9920000.0,-66.14218217026632
-9900000.0,-66.17061338020216
-9880000.0,-66.16182938911038
-9860000.0,-66.1280004986658
-9840000.0,-66.14437536319004
-9820000.0,-66.14602895673775
-9800000.0,-66.12717433879381
-9780000.0,-66.13824733765468
-9760000.0,-66.16760162871857
-9740000.0,-66.1404296909225
-9720000.0,-66.14609931574783
-9700000.0,-66.18670161369384
-9680000.0,-66.19261681147177
-9660000.0,-66.17093837961227
-9640000.0,-66.16716092869714
-9620000.0,-66.18696895828404
-9600000.0,-66.18456696006587
-9580000.0,-66.17438579868602
-9560000.0,-66.15824456192094
-9540000.0,-66.16105451703723
-9520000.0,-66.15573800518816
-9500000.0,-66.18357686657623
-9480000.0,-66.16794476774908
-9460000.0,-66.16547078668358
-9440000.0,-66.19054112725215
-9420000.0,-66.1599590581043
-9400000.0,-66.16102834613653
-9380000.0,-66.17942563289822
-9360000.0,-66.18858171072975
-9340000.0,-66.17211174443814
-9320000.0,-66.1569000832711
-9300000.0,-66.17733584840795
-9280000.0,-66.17494469737069
-9260000.0,-66.15332289143515
-9240000.0,-66.17717506079677
-9220000.0,-66.14262180572229
-9200000.0,-66.14881072387664
-9180000.0,-66.17146268587618
-9160000.0,-66.16940519472979
-9140000.0,-66.13823089673996
-9120000.0,-66.11596716326636
-9100000.0,-66.122395550509
-9080000.0,-66.13626702535099
-9060000.0,-66.13565376833763
-9040000.0,-66.14060738136816
-9020000.0,-66.13409070857213
-9000000.0,-66.1184851019113
-8980000.0,-66.11775255222125
-8960000.0,-66.16252337287735
-8940000.0,-66.1622006200727
-8920000.0,-66.16845882849019
-8900000.0,-66.1922886427095
-8880000.0,-66.16895377000377
-8860000.0,-66.15642635765384
-8840000.0,-66.14458108186086
-8820000.0,-66.12588021947562
-8800000.0,-66.12203222750125
-8780000.0,-66.13632797067532
-8760000.0,-66.13099262622256
-8740000.0,-66.15007121201444
-8720000.0,-66.18153539138802
-8700000.0,-66.18204845843496
-8680000.0,-66.09640963789717
-8660000.0,-66.07726731424206
-8640000.0,-66.13336925920164
-8620000.0,-66.15604460907278
-8600000.0,-66.16804870751137
-8580000.0,-66.17240865592748
-8560000.0,-66.15638854728988
-8540000.0,-66.18984990017532
-8520000.0,-66.18949255000645
-8500000.0,-66.15779953851634
-8480000.0,-66.15279171990265
-8460000.0,-66.1747566007283
-8440000.0,-66.17040912424218
-8420000.0,-66.16380664161183
-8400000.0,-66.15904837673432
-8380000.0,-66.14371392748053
-8360000.0,-66.17383644357665
-8340000.0,-66.18856610275091
-8320000.0,-66.14381572893606
-8300000.0,-66.13760138210033
-8280000.0,-66.13512591154362
-8260000.0,-66.15730163431567
-8240000.0,-66.17326219093813
-8220000.0,-66.19236926049332
-8200000.0,-66.16583247221166
-8180000.0,-66.12542787690462
-8160000.0,-66.12523109975069
-8140000.0,-66.1825606011134
-8120000.0,-66.15008174528253
-8100000.0,-66.13062931069939
-8080000.0,-66.14827327129883
-8060000.0,-66.16566579139081
-8040000.0,-66.15059878814169
-8020000.0,-66.15025040669968
-8000000.0,-66.17001455061686
-7980000.0,-66.16615344317478
-7960000.0,-66.16431785457182
-7940000.0,-66.17786113421646
-7920000.0,-66.14872322769554
-7900000.0,-66.14803088859526
-7880000.0,-66.13165861007546
-7860000.0,-66.1536631623054
-7840000.0,-66.17791753352343
-7820000.0,-66.18341734548324
-7800000.0,-66.16143288795789
-7780000.0,-66.19305002132127
-7760000.0,-66.16788510116116
-7740000.0,-66.19940222710565
-7720000.0,-66.19456142157026
-7700000.0,-66.16588683759844
-7680000.0,-66.19707183948306
-7660000.0,-66.19148987439908
-7640000.0,-66.14852373790822
-7620000.0,-66.15153425890428
-7600000.0,-66.14854514682315
-7580000.0,-66.15860816950037
-7560000.0,-66.14671425261058
-7540000.0,-66.15020048248834
-7520000.0,-66.15605018748683
-7500000.0,-66.16088057704262
-7480000.0,-66.15820422730302
-7460000.0,-66.16491288273221
-7440000.0,-66.14539702784253
-7420000.0,-66.13054193147826
-7400000.0,-66.15088838937102
-7380000.0,-66.15542710571182
-7360000.0,-66.14077643678843
-7340000.0,-66.16463615569128
-7320000.0,-66.14800422382974
-7300000.0,-66.14352198730889
-7280000.0,-66.15086780486527
-7260000.0,-66.16337741527089
-7240000.0,-66.14362847670651
-7220000.0,-66.14494394479557
-7200000.0,-66.15114392260463
-7180000.0,-66.1703516382461
-7160000.0,-66.18032679668681
-7140000.0,-66.1549058728273
-7120000.0,-66.17897401675299
-7100000.0,-66.14461381453796
-7080000.0,-66.14817700425378
-7060000.0,-66.18743933258321
-7040000.0,-66.18590497697625
-7020000.0,-66.20002544756333
-7000000.0,-66.20117896220978
-6980000.0,-66.22014928041938
-6960000.0,-66.17536788516159
-6940000.0,-66.15897314483225
-6920000.0,-66.16712297873627
-6900000.0,-66.12298464253408
-6880000.0,-66.14687372114706
-6860000.0,-66.14905513668947
-6840000.0,-66.14618663665328
-6820000.0,-66.19004688237959
-6800000.0,-66.21931262166166
-6780000.0,-66.1997273007877
-6760000.0,-66.13239899214706
-6740000.0,-66.17173740706895
-6720000.0,-66.16079589626074
-6700000.0,-66.13261138266226
-6680000.0,-66.16237687474212
-6660000.0,-66.18106977961827
-6640000.0,-66.1805522573936
-6620000.0,-66.1723644212197
-6600000.0,-66.17939100933644
-6580000.0,-66.1764776916602
-6560000.0,-66.20681975187183
-6540000.0,-66.19936588824201
-6520000.0,-66.1693967905301
-6500000.0,-66.17718177458678
-6480000.0,-66.19016300493256
-6460000.0,-66.16746509924451
-6440000.0,-66.18890192888625
-6420000.0,-66.18255549468002
-6400000.0,-66.15144701547503
-6380000.0,-66.1788515913251
-6360000.0,-66.13703377330907
-6340000.0,-66.11714444156684
-6320000.0,-66.15136269664117
-6300000.0,-66.16838679164347
-6280000.0,-66.16578774662077
-6260000.0,-66.15380120375548
-6240000.0,-66.1707149488719
-6220000.0,-66.14765320949738
-6200000.0,-66.11871504391769
-6180000.0,-66.1528638794046
-6160000.0,-66.15110825981658
-6140000.0,-66.14869442516894
-6120000.0,-66.15146763854239
-6100000.0,-66.1886122320964
-6080000.0,-66.18854866967305
-6060000.0,-66.21025933346377
-6040000.0,-66.21613286951998
-6020000.0,-66.1769055835165
-6000000.0,-66.16716184501125
-5980000.0,-66.14859828595621
-5960000.0,-66.17152566866226
-5940000.0,-66.17152779576044
-5920000.0,-66.19165579947747
-5900000.0,-66.18783598934657
-5880000.0,-66.21243559900434
-5860000.0,-66.19713691056383
-5840000.0,-66.24008186999224
-5820000.0,-66.24436463827871
-5800000.0,-66.22331744584943
-5780000.0,-66.21765447140666
-5760000.0,-66.20593749464518
-5740000.0,-66.20450749071861
-5720000.0,-66.17433373064416
-5700000.0,-66.17241072666222
-5680000.0,-66.20444859984345
-5660000.0,-66.207646913743
-5640000.0,-66.19147846978572
-5620000.0,-66.18847216222687
-5600000.0,-66.23301411109313
-5580000.0,-66.20411666267583
-5560000.0,-66.23069165862947
-5540000.0,-66.23733970108105
-5520000.0,-66.22152066481843
-5500000.0,-66.22828123528109
-5480000.0,-66.25332521391998
-5460000.0,-66.25277845201853
-5440000.0,-66.21183507333298
-5420000.0,-66.22277935884863
-5400000.0,-66.21501840834411
-5380000.0,-66.23166036725746
-5360000.0,-66.24125099156153
-5340000.0,-66.22778322320345
-5320000.0,-66.22785076164101
-5300000.0,-66.23823740102857
-5280000.0,-66.17543616889306
-5260000.0,-66.20049627859999
-5240000.0,-66.24007352253446
-5220000.0,-66.207878778293
-5200000.0,-66.1938119924749
-5180000.0,-66.22538333446676
-5160000.0,-66.20050240335519
-5140000.0,-66.18346608823909
-5120000.0,-66.18301163705053
-5100000.0,-66.20864759764278
-5080000.0,-66.20769825877213
-5060000.0,-66.22475123302677
-5040000.0,-66.22041652570891
-5020000.0,-66.16147270236206
-5000000.0,-66.01691729814262
-4980000.0,-66.1453612933504
-4960000.0,-66.22474455563858
-4940000.0,-66.26296355087773
-4920000.0,-66.21496212680742
-4900000.0,-66.1712285199625
-4880000.0,-66.20041844998285
-4860000.0,-66.21370622471338
-4840000.0,-66.23188496145758
