Frequency (Hz),PSD (dBm)
-10000000.0,-66.01397298208249
-9980000.0,-66.00680264058862
-9960000.0,-66.0277479051617
-9940000.0,-66.02003753957499
-9920000.0,-66.03118737015551
-9900000.0,-66.03018934688419
-9880000.0,-65.99593134362352
-9860000.0,-66.00115088253366
-9840000.0,-66.00170504080813
-9820000.0,-66.01734461771522
-9800000.0,-65.98587147532474
-9780000.0,-66.02899082660197
-9760000.0,-66.02363464206111
-9740000.0,-66.01831603715583
-9720000.0,-66.0339224742738
-9700000.0,-66.0565090709363
-9680000.0,-66.0378537511541
-9660000.0,-66.00172805966145
-9640000.0,-66.02136406110431
-9620000.0,-66.01134094842365
-9600000.0,-66.02242447992533
-9580000.0,-66.03970352622638
-9560000.0,-66.00918214470266
-9540000.0,-66.02845166290656
-9520000.0,-66.05948172835664
-9500000.0,-66.05371694427812
-9480000.0,-66.0730848153471
-9460000.0,-66.02763956848092
-9440000.0,-66.00565723165525
-9420000.0,-66.02688360580316
-9400000.0,-66.0448091112926
-9380000.0,-66.05530778213306
-9360000.0,-66.0923656298033
-9340000.0,-66.05919297186898
-9320000.0,-66.04482989470573
-9300000.0,-66.03703590537276
-9280000.0,-66.01601229033412
-9260000.0,-66.03596484127492
-9240000.0,-66.03162524969365
-9220000.0,-65.99372375988685
-9200000.0,-65.97373345390605
-9180000.0,-66.00456215849304
-9160000.0,-66.04672980453726
-9140000.0,-66.08188467368129
-9120000.0,-66.08793431556894
-9100000.0,-66.02195320200096
-9080000.0,-66.0160290288484
-9060000.0,-66.04755514028648
-9040000.0,-66.0491758741553
-9020000.0,-66.02479297644523
-9000000.0,-66.0134048166262
-8980000.0,-66.00867613451369
-8960000.0,-65.96427667280712
-8940000.0,-66.00265260558632
-8920000.0,-66.04125063064384
-8900000.0,-65.99919694931816
-8880000.0,-66.00373474431913
-8860000.0,-66.01892838377124
-8840000.0,-66.00785232296386
-8820000.0,-66.05876675027392
-8800000.0,-66.04417940037821
-8780000.0,-66.03942528169841
-8760000.0,-66.04916750331766
-8740000.0,-66.01320155012597
-8720000.0,-66.02421180174323
-8700000.0,-66.06311955809367
-8680000.0,-66.01836065405912
-8660000.0,-65.98413143848711
-8640000.0,-66.00790372268821
-8620000.0,-66.01327661721439
-8600000.0,-66.02974445500215
-8580000.0,-66.0453382977442
-8560000.0,-66.0579062051241
-8540000.0,-66.02414780865722
-8520000.0,-66.02317923376448
-8500000.0,-66.01821872828371
-8480000.0,-66.02706583714908
-8460000.0,-66.04730643760337
-8440000.0,-66.06111564518838
-8420000.0,-66.04555007329104
-8400000.0,-66.03944383060643
-8380000.0,-66.05619256701326
-8360000.0,-66.02700488791774
-8340000.0,-66.01329729019787
-8320000.0,-66.0199930902772
-8300000.0,-66.074208124637
-8280000.0,-65.99521744501685
-8260000.0,-65.96606505234882
-8240000.0,-65.9863025478908
-8220000.0,-66.03610392381538
-8200000.0,-66.01159223353935
-8180000.0,-65.98623960392001
-8160000.0,-66.02231714302546
-8140000.0,-66.04679586313188
-8120000.0,-66.05749987670194
-8100000.0,-66.01687637388065
-8080000.0,-66.0029795356441
-8060000.0,-66.03717690092861
-8040000.0,-66.00210087981166
-8020000.0,-66.04984294760816
-8000000.0,-66.02753426432615
-7980000.0,-66.01973752625865
-7960000.0,-66.05191462625997
-7940000.0,-66.02388819678053
