Timestamp_Epoch,Acq_Time_ms,PSD_Calc_Time_ms,CPU_Load_Pct,RAM_Used_MB,RAM_Total_MB,Swap_Used_MB,Disk_Usage_Pct,CenterFreq_Hz,RBW_Hz,SampleRate_Hz,Span_Hz,Overlap,Scale,Window,LNA,VGA,Amp,PSD_Bins
1765468446,1016.22,1034.87,7.81,4670,7866,0,19.61,98000000,10000,20000000,20000000,0.50,dBm,2,0,0,0,2048
1765468499,1008.54,1167.42,2.97,4685,7866,0,19.61,98000000,10000,20000000,20000000,0.50,dBm,2,0,0,0,2048
1765468526,1017.68,1036.32,4.26,4688,7866,0,19.61,98000000,10000,20000000,20000000,0.50,dBm,2,0,0,0,2048
