Frequency (Hz),PSD (dBfs)
350650000.0,-80.995026
350660000.0,-81.06268
350670000.0,-81.0725
350680000.0,-81.06659
350690000.0,-80.98519
350700000.0,-81.008644
350710000.0,-81.05042
350720000.0,-81.08186
350730000.0,-81.07909
350740000.0,-81.08919
350750000.0,-81.06838
350760000.0,-81.01192
350770000.0,-81.01866
350780000.0,-81.081436
350790000.0,-81.08568
350800000.0,-81.04616
350810000.0,-81.01857
350820000.0,-81.09207
350830000.0,-81.07204
350840000.0,-81.04577
350850000.0,-81.019356
350860000.0,-81.02371
350870000.0,-81.03609
350880000.0,-81.04228
350890000.0,-81.06137
350900000.0,-81.06503
350910000.0,-81.07792
350920000.0,-81.05401
350930000.0,-81.04652
350940000.0,-81.00071
350950000.0,-81.01999
350960000.0,-81.00925
350970000.0,-81.01129
350980000.0,-81.01487
350990000.0,-81.098366
351000000.0,-80.99708
351010000.0,-81.01879
351020000.0,-81.0167
351030000.0,-81.02746
351040000.0,-81.05492
351050000.0,-81.05174
351060000.0,-81.049576
351070000.0,-81.069244
351080000.0,-81.057526
351090000.0,-81.05648
351100000.0,-81.04081
351110000.0,-80.988235
351120000.0,-81.04419
351130000.0,-81.076935
351140000.0,-81.03809
351150000.0,-81.035675
351160000.0,-81.04805
351170000.0,-81.10841
351180000.0,-81.10205
351190000.0,-81.04865
351200000.0,-80.99441
351210000.0,-81.083466
351220000.0,-81.04932
351230000.0,-81.0241
351240000.0,-81.01821
351250000.0,-81.03076
351260000.0,-81.01207
351270000.0,-81.01544
351280000.0,-81.06325
351290000.0,-81.05873
351300000.0,-81.079475
351310000.0,-81.10485
351320000.0,-81.07788
351330000.0,-81.08601
351340000.0,-81.11335
351350000.0,-81.11008
351360000.0,-81.05423
351370000.0,-81.07723
351380000.0,-81.10519
351390000.0,-81.11276
351400000.0,-81.11274
351410000.0,-81.12886
351420000.0,-81.12842
351430000.0,-81.00979
351440000.0,-81.03331
351450000.0,-81.02546
351460000.0,-81.025055
351470000.0,-81.1019
351480000.0,-81.10582
351490000.0,-81.02829
351500000.0,-81.050835
351510000.0,-81.05701
351520000.0,-81.056656
351530000.0,-81.10726
351540000.0,-81.087456
351550000.0,-81.032265
351560000.0,-81.01162
351570000.0,-81.045395
351580000.0,-81.04728
351590000.0,-81.06072
351600000.0,-81.058105
351610000.0,-81.018875
351620000.0,-81.050995
351630000.0,-81.04956
351640000.0,-81.07713
351650000.0,-81.08133
351660000.0,-81.047066
351670000.0,-81.075485
351680000.0,-81.02752
351690000.0,-81.050476
351700000.0,-81.04751
351710000.0,-80.98968
351720000.0,-81.014984
351730000.0,-81.03576
351740000.0,-81.03987
351750000.0,-81.08481
351760000.0,-81.07377
351770000.0,-81.098175
351780000.0,-81.13854
351790000.0,-81.082954
351800000.0,-81.109886
351810000.0,-81.05946
351820000.0,-81.04279
351830000.0,-81.087074
351840000.0,-81.07765
351850000.0,-81.01836
351860000.0,-81.03471
351870000.0,-81.07628
351880000.0,-81.07662
351890000.0,-81.05974
351900000.0,-81.05403
351910000.0,-81.05397
351920000.0,-81.08188
351930000.0,-81.129974
351940000.0,-81.110275
351950000.0,-81.081856
351960000.0,-81.09006
351970000.0,-81.07484
351980000.0,-81.11771
351990000.0,-81.078125
352000000.0,-81.066376
352010000.0,-81.116554
352020000.0,-81.0721
352030000.0,-81.085976
352040000.0,-81.06346
352050000.0,-81.078995
352060000.0,-81.10637
352070000.0,-81.07965
352080000.0,-81.05254
352090000.0,-81.08814
352100000.0,-81.09397
352110000.0,-81.08047
352120000.0,-81.099365
352130000.0,-81.07289
352140000.0,-81.06117
352150000.0,-81.10315
352160000.0,-81.076546
352170000.0,-81.09527
352180000.0,-81.14785
352190000.0,-81.12053
352200000.0,-81.082016
352210000.0,-81.08414
352220000.0,-81.10717
352230000.0,-81.10905
352240000.0,-81.089645
352250000.0,-81.04455
352260000.0,-81.006256
352270000.0,-81.028206
352280000.0,-81.06392
352290000.0,-81.1012
352300000.0,-81.09642
352310000.0,-81.12268
352320000.0,-81.10829
352330000.0,-81.073235
352340000.0,-81.067245
352350000.0,-81.08241
352360000.0,-81.09387
352370000.0,-81.115524
352380000.0,-81.089035
352390000.0,-81.11211
352400000.0,-81.112755
352410000.0,-81.0685
352420000.0,-81.083405
352430000.0,-81.09226
352440000.0,-81.04805
352450000.0,-81.06937
352460000.0,-81.108826
352470000.0,-81.07422
352480000.0,-81.06792
352490000.0,-81.07054
352500000.0,-81.09476
352510000.0,-81.08449
352520000.0,-81.05864
352530000.0,-81.08525
352540000.0,-81.09421
352550000.0,-81.0612
352560000.0,-81.10222
352570000.0,-81.08565
352580000.0,-81.08483
352590000.0,-81.093506
352600000.0,-81.08105
352610000.0,-81.079865
352620000.0,-81.107285
352630000.0,-81.105385
352640000.0,-81.09562
352650000.0,-81.10686
352660000.0,-81.11678
352670000.0,-81.1235
352680000.0,-81.17287
352690000.0,-81.16119
352700000.0,-81.08681
352710000.0,-81.099556
352720000.0,-81.0914
352730000.0,-81.09539
352740000.0,-81.13078
352750000.0,-81.12945
352760000.0,-81.1206
352770000.0,-81.09773
352780000.0,-81.07281
352790000.0,-81.129364
352800000.0,-81.147964
352810000.0,-81.09982
352820000.0,-81.09516
352830000.0,-81.08821
352840000.0,-81.106064
