Frequency (Hz),PSD (dBfs)
208000000.0,-81.15259
208010000.0,-81.142166
208020000.0,-81.13533
208030000.0,-81.17572
208040000.0,-81.17879
208050000.0,-81.077156
208060000.0,-81.05233
208070000.0,-81.003265
208080000.0,-81.030624
208090000.0,-81.037415
208100000.0,-81.04786
208110000.0,-81.08101
208120000.0,-81.076965
208130000.0,-81.1201
208140000.0,-81.0625
208150000.0,-81.092606
208160000.0,-81.09175
208170000.0,-81.07231
208180000.0,-81.056625
208190000.0,-81.09162
208200000.0,-81.11377
208210000.0,-81.07697
208220000.0,-81.07955
208230000.0,-81.125145
208240000.0,-81.114006
208250000.0,-81.103226
208260000.0,-81.08667
208270000.0,-81.07587
208280000.0,-81.080666
208290000.0,-81.08722
208300000.0,-81.1012
208310000.0,-81.08326
208320000.0,-81.07811
208330000.0,-81.0521
208340000.0,-81.07578
208350000.0,-81.09375
208360000.0,-81.040565
208370000.0,-81.017334
208380000.0,-81.04817
208390000.0,-81.07357
208400000.0,-81.090355
208410000.0,-81.11871
208420000.0,-81.10736
208430000.0,-81.08124
208440000.0,-81.11465
208450000.0,-81.058136
208460000.0,-81.056244
208470000.0,-81.07727
208480000.0,-81.082825
208490000.0,-81.05855
208500000.0,-81.13237
208510000.0,-81.041855
208520000.0,-80.99913
208530000.0,-81.08388
208540000.0,-81.12411
208550000.0,-81.13171
208560000.0,-81.10693
208570000.0,-81.09181
208580000.0,-81.10157
208590000.0,-81.045845
208600000.0,-81.06261
208610000.0,-81.12057
208620000.0,-81.11993
208630000.0,-81.11706
208640000.0,-81.08411
208650000.0,-81.10109
208660000.0,-81.09526
208670000.0,-81.08909
208680000.0,-81.08093
208690000.0,-81.09538
208700000.0,-81.08571
208710000.0,-81.03072
208720000.0,-81.06287
208730000.0,-81.08646
208740000.0,-81.08002
208750000.0,-81.10477
208760000.0,-81.09989
208770000.0,-81.10702
208780000.0,-81.10487
208790000.0,-81.10408
208800000.0,-81.036766
208810000.0,-81.0872
208820000.0,-81.099
208830000.0,-81.0981
208840000.0,-81.059845
208850000.0,-81.056816
208860000.0,-81.061615
208870000.0,-81.05275
208880000.0,-81.053925
208890000.0,-81.08826
208900000.0,-81.104095
208910000.0,-81.0727
208920000.0,-81.0659
208930000.0,-81.05911
208940000.0,-81.0725
208950000.0,-81.077415
208960000.0,-81.08484
208970000.0,-81.0768
208980000.0,-81.07087
208990000.0,-81.07338
209000000.0,-81.08481
209010000.0,-81.06518
209020000.0,-81.07487
209030000.0,-81.1124
209040000.0,-81.06807
209050000.0,-81.0801
209060000.0,-81.14197
209070000.0,-81.12898
209080000.0,-81.1111
209090000.0,-81.04152
209100000.0,-81.042625
209110000.0,-81.08657
209120000.0,-81.03647
209130000.0,-81.100235
209140000.0,-81.07094
209150000.0,-81.02291
