Frequency (Hz),PSD (dBfs)
208000000.0,-80.262634
208010000.0,-80.31045
208020000.0,-80.2848
208030000.0,-80.21977
208040000.0,-80.21123
208050000.0,-80.19432
208060000.0,-80.21554
208070000.0,-80.199005
208080000.0,-80.19627
208090000.0,-80.25909
208100000.0,-80.2201
208110000.0,-80.17971
208120000.0,-80.2086
208130000.0,-80.27309
208140000.0,-80.25948
208150000.0,-80.24883
208160000.0,-80.23166
208170000.0,-80.242676
208180000.0,-80.23587
208190000.0,-80.20893
208200000.0,-80.27687
208210000.0,-80.24406
208220000.0,-80.24944
208230000.0,-80.275116
208240000.0,-80.27161
208250000.0,-80.28756
208260000.0,-80.284355
208270000.0,-80.266495
208280000.0,-80.2661
208290000.0,-80.26783
208300000.0,-80.236595
208310000.0,-80.223236
208320000.0,-80.28244
208330000.0,-80.286896
208340000.0,-80.26779
208350000.0,-80.279144
208360000.0,-80.251274
208370000.0,-80.27988
208380000.0,-80.25812
208390000.0,-80.23823
208400000.0,-80.2864
208410000.0,-80.285805
208420000.0,-80.201225
208430000.0,-80.17914
208440000.0,-80.16875
208450000.0,-80.20916
208460000.0,-80.252396
208470000.0,-80.25109
208480000.0,-80.229256
208490000.0,-80.2415
208500000.0,-80.2306
208510000.0,-80.238106
208520000.0,-80.28154
208530000.0,-80.276306
208540000.0,-80.20397
208550000.0,-80.27259
208560000.0,-80.30227
208570000.0,-80.24868
208580000.0,-80.32462
208590000.0,-80.259674
208600000.0,-80.24393
208610000.0,-80.227516
208620000.0,-80.27183
208630000.0,-80.27332
208640000.0,-80.21248
208650000.0,-80.263756
208660000.0,-80.22404
208670000.0,-80.17043
208680000.0,-80.27291
208690000.0,-80.246346
208700000.0,-80.224014
208710000.0,-80.265045
208720000.0,-80.26576
208730000.0,-80.23421
208740000.0,-80.27455
208750000.0,-80.260635
208760000.0,-80.22811
208770000.0,-80.261566
208780000.0,-80.23086
208790000.0,-80.24579
208800000.0,-80.25771
208810000.0,-80.268326
208820000.0,-80.25346
208830000.0,-80.21851
208840000.0,-80.22159
208850000.0,-80.201065
208860000.0,-80.221466
208870000.0,-80.225784
208880000.0,-80.21575
208890000.0,-80.21719
208900000.0,-80.22307
208910000.0,-80.26161
208920000.0,-80.27478
208930000.0,-80.28484
208940000.0,-80.2448
208950000.0,-80.23083
208960000.0,-80.23201
208970000.0,-80.17665
208980000.0,-80.161316
208990000.0,-80.21504
209000000.0,-80.232735
209010000.0,-80.26808
209020000.0,-80.27679
209030000.0,-80.32372
209040000.0,-80.24074
209050000.0,-80.2243
209060000.0,-80.256546
209070000.0,-80.23387
209080000.0,-80.28821
209090000.0,-80.26264
209100000.0,-80.23491
209110000.0,-80.28832
209120000.0,-80.26802
209130000.0,-80.25244
209140000.0,-80.32292
209150000.0,-80.26478
209160000.0,-80.23274
209170000.0,-80.24422
209180000.0,-80.26745
209190000.0,-80.24371
209200000.0,-80.173676
209210000.0,-80.25983
209220000.0,-80.26332
209230000.0,-80.239
209240000.0,-80.2603
209250000.0,-80.24327
209260000.0,-80.23787
209270000.0,-80.2475
209280000.0,-80.2292
209290000.0,-80.200226
209300000.0,-80.23775
209310000.0,-80.218506
209320000.0,-80.19818
209330000.0,-80.17033
209340000.0,-80.19919
209350000.0,-80.23903
209360000.0,-80.23124
209370000.0,-80.22557
209380000.0,-80.19451
209390000.0,-80.175385
209400000.0,-80.1648
209410000.0,-80.20196
209420000.0,-80.18299
209430000.0,-80.19621
209440000.0,-80.21652
209450000.0,-80.230515
209460000.0,-80.30358
209470000.0,-80.26969
209480000.0,-80.2278
209490000.0,-80.20369
209500000.0,-80.20763
209510000.0,-80.20987
209520000.0,-80.21935
209530000.0,-80.20068
209540000.0,-80.26714
209550000.0,-80.2666
209560000.0,-80.2205
209570000.0,-80.22946
209580000.0,-80.28929
209590000.0,-80.25944
209600000.0,-80.249756
209610000.0,-80.21728
209620000.0,-80.19827
209630000.0,-80.24331
209640000.0,-80.26122
209650000.0,-80.20102
209660000.0,-80.186676
209670000.0,-80.20496
209680000.0,-80.21485
209690000.0,-80.222534
209700000.0,-80.201584
209710000.0,-80.22605
209720000.0,-80.27259
209730000.0,-80.26485
209740000.0,-80.29382
209750000.0,-80.2628
209760000.0,-80.20191
209770000.0,-80.20267
209780000.0,-80.17723
209790000.0,-80.18567
209800000.0,-80.21083
209810000.0,-80.24239
209820000.0,-80.23589
209830000.0,-80.22485
209840000.0,-80.27353
209850000.0,-80.2677
209860000.0,-80.26447
209870000.0,-80.26443
209880000.0,-80.23777
209890000.0,-80.23965
209900000.0,-80.225235
209910000.0,-80.19351
209920000.0,-80.21888
209930000.0,-80.26904
209940000.0,-80.26993
209950000.0,-80.20077
209960000.0,-80.26444
209970000.0,-80.303665
209980000.0,-80.218056
209990000.0,-80.1918
210000000.0,-79.97355
210010000.0,-80.16061
210020000.0,-80.24005
210030000.0,-80.24219
210040000.0,-80.26931
210050000.0,-80.21267
210060000.0,-80.2105
210070000.0,-80.263054
210080000.0,-80.25779
210090000.0,-80.191154
210100000.0,-80.21658
210110000.0,-80.28705
210120000.0,-80.28104
210130000.0,-80.30209
210140000.0,-80.25508
210150000.0,-80.218285
210160000.0,-80.23342
210170000.0,-80.246796
210180000.0,-80.22809
210190000.0,-80.21889
210200000.0,-80.19462
210210000.0,-80.234406
210220000.0,-80.23111
210230000.0,-80.22928
210240000.0,-80.25718
210250000.0,-80.25598
210260000.0,-80.208855
210270000.0,-80.21786
210280000.0,-80.2513
210290000.0,-80.28149
210300000.0,-80.23438
210310000.0,-80.2031
210320000.0,-80.24666
210330000.0,-80.292885
210340000.0,-80.30651
210350000.0,-80.28494
210360000.0,-80.24678
210370000.0,-80.22569
210380000.0,-80.20749
210390000.0,-80.2221
210400000.0,-80.25159
210410000.0,-80.21808
210420000.0,-80.18436
210430000.0,-80.21805
210440000.0,-80.23759
210450000.0,-80.25402
210460000.0,-80.29701
210470000.0,-80.286415
210480000.0,-80.25734
210490000.0,-80.27995
210500000.0,-80.24974
210510000.0,-80.21944
210520000.0,-80.22996
210530000.0,-80.28251
210540000.0,-80.22931
210550000.0,-80.212006
210560000.0,-80.20606
210570000.0,-80.27268
210580000.0,-80.2729
210590000.0,-80.23068
210600000.0,-80.28325
210610000.0,-80.297455
210620000.0,-80.27995
210630000.0,-80.26918
210640000.0,-80.275505
210650000.0,-80.29366
210660000.0,-80.24009
210670000.0,-80.26051
210680000.0,-80.26119
210690000.0,-80.27672
210700000.0,-80.34714
210710000.0,-80.32849
210720000.0,-80.260544
210730000.0,-80.21176
210740000.0,-80.25046
210750000.0,-80.23802
210760000.0,-80.22977
210770000.0,-80.277756
210780000.0,-80.30078
210790000.0,-80.258934
210800000.0,-80.34248
210810000.0,-80.32771
210820000.0,-80.23742
210830000.0,-80.24261
210840000.0,-80.25669
210850000.0,-80.288284
210860000.0,-80.26432
210870000.0,-80.2424
210880000.0,-80.22768
210890000.0,-80.179276
210900000.0,-80.258484
210910000.0,-80.30736
210920000.0,-80.26422
210930000.0,-80.25291
210940000.0,-80.24762
210950000.0,-80.296104
210960000.0,-80.2842
210970000.0,-80.22961
210980000.0,-80.19824
210990000.0,-80.16837
211000000.0,-79.9569
211010000.0,-80.204475
211020000.0,-80.27526
211030000.0,-80.25868
211040000.0,-80.2648
211050000.0,-80.23449
211060000.0,-80.248116
211070000.0,-80.326546
211080000.0,-80.32078
211090000.0,-80.313484
211100000.0,-80.27786
211110000.0,-80.2578
211120000.0,-80.277954
211130000.0,-80.27214
211140000.0,-80.24437
211150000.0,-80.25636
211160000.0,-80.28192
211170000.0,-80.31705
211180000.0,-80.30208
211190000.0,-80.28426
211200000.0,-80.28177
211210000.0,-80.266525
211220000.0,-80.27622
211230000.0,-80.28473
211240000.0,-80.34768
211250000.0,-80.294846
211260000.0,-80.31929
211270000.0,-80.255325
211280000.0,-80.25146
211290000.0,-80.233086
211300000.0,-80.28068
211310000.0,-80.30359
211320000.0,-80.29291
211330000.0,-80.30621
211340000.0,-80.29033
211350000.0,-80.28095
211360000.0,-80.32921
211370000.0,-80.26695
211380000.0,-80.24105
211390000.0,-80.26466
211400000.0,-80.25862
211410000.0,-80.28424
211420000.0,-80.30181
211430000.0,-80.27945
211440000.0,-80.25494
211450000.0,-80.28839
211460000.0,-80.274956
211470000.0,-80.245224
211480000.0,-80.2823
211490000.0,-80.32089
211500000.0,-80.31233
211510000.0,-80.27487
211520000.0,-80.238846
211530000.0,-80.2648
211540000.0,-80.28279
211550000.0,-80.256516
211560000.0,-80.31773
211570000.0,-80.316284
211580000.0,-80.30163
211590000.0,-80.24455
211600000.0,-80.23965
211610000.0,-80.2808
211620000.0,-80.31172
211630000.0,-80.24342
211640000.0,-80.25485
211650000.0,-80.33563
211660000.0,-80.324615
211670000.0,-80.28502
211680000.0,-80.260735
211690000.0,-80.26608
211700000.0,-80.23857
211710000.0,-80.28017
211720000.0,-80.27099
211730000.0,-80.28845
211740000.0,-80.36522
211750000.0,-80.3136
211760000.0,-80.28371
211770000.0,-80.34202
211780000.0,-80.30959
211790000.0,-80.2927
211800000.0,-80.29889
211810000.0,-80.31259
211820000.0,-80.22401
211830000.0,-80.289536
211840000.0,-80.31317
211850000.0,-80.29767
211860000.0,-80.25234
211870000.0,-80.21692
211880000.0,-80.22447
211890000.0,-80.24904
211900000.0,-80.26114
211910000.0,-80.24171
211920000.0,-80.283134
211930000.0,-80.31707
211940000.0,-80.313805
211950000.0,-80.313126
211960000.0,-80.306175
211970000.0,-80.256485
211980000.0,-80.2688
211990000.0,-80.302345
212000000.0,-80.32708
212010000.0,-80.27904
212020000.0,-80.285484
212030000.0,-80.27258
212040000.0,-80.3042
212050000.0,-80.29225
212060000.0,-80.276535
212070000.0,-80.27139
212080000.0,-80.30089
212090000.0,-80.33685
212100000.0,-80.2988
212110000.0,-80.26381
212120000.0,-80.31493
212130000.0,-80.292274
212140000.0,-80.27661
212150000.0,-80.24477
212160000.0,-80.24033
212170000.0,-80.26042
212180000.0,-80.31061
212190000.0,-80.31097
212200000.0,-80.30595
212210000.0,-80.306015
212220000.0,-80.29007
212230000.0,-80.28218
212240000.0,-80.24924
212250000.0,-80.27425
212260000.0,-80.27637
212270000.0,-80.28374
212280000.0,-80.319534
212290000.0,-80.30921
212300000.0,-80.292206
212310000.0,-80.33813
212320000.0,-80.32215
212330000.0,-80.2781
212340000.0,-80.264885
212350000.0,-80.29202
212360000.0,-80.333435
212370000.0,-80.28434
212380000.0,-80.32526
212390000.0,-80.34291
212400000.0,-80.372314
212410000.0,-80.336395
212420000.0,-80.29449
212430000.0,-80.308655
212440000.0,-80.301445
212450000.0,-80.32657
212460000.0,-80.286514
212470000.0,-80.26206
212480000.0,-80.296524
212490000.0,-80.319824
212500000.0,-80.32913
212510000.0,-80.354935
212520000.0,-80.32532
212530000.0,-80.288994
212540000.0,-80.30734
212550000.0,-80.36892
212560000.0,-80.352325
212570000.0,-80.316956
212580000.0,-80.347015
212590000.0,-80.30761
212600000.0,-80.30132
212610000.0,-80.34668
212620000.0,-80.30835
212630000.0,-80.28854
212640000.0,-80.29976
212650000.0,-80.31521
212660000.0,-80.327255
212670000.0,-80.30572
212680000.0,-80.299774
212690000.0,-80.3334
212700000.0,-80.328224
212710000.0,-80.30926
212720000.0,-80.31716
212730000.0,-80.34923
212740000.0,-80.33578
212750000.0,-80.31867
212760000.0,-80.32698
212770000.0,-80.34125
212780000.0,-80.34192
212790000.0,-80.317154
212800000.0,-80.248184
212810000.0,-80.300186
212820000.0,-80.333435
212830000.0,-80.34015
212840000.0,-80.33255
212850000.0,-80.28835
212860000.0,-80.32523
212870000.0,-80.3282
212880000.0,-80.30953
212890000.0,-80.30315
212900000.0,-80.311554
212910000.0,-80.26247
212920000.0,-80.31061
212930000.0,-80.34662
212940000.0,-80.34379
212950000.0,-80.30005
212960000.0,-80.2916
212970000.0,-80.321594
212980000.0,-80.32357
212990000.0,-80.30094
213000000.0,-80.31886
213010000.0,-80.32737
213020000.0,-80.31
213030000.0,-80.314224
213040000.0,-80.31414
213050000.0,-80.36274
213060000.0,-80.32112
213070000.0,-80.307755
213080000.0,-80.32906
213090000.0,-80.300964
213100000.0,-80.320724
213110000.0,-80.32917
213120000.0,-80.36475
213130000.0,-80.31613
213140000.0,-80.35631
213150000.0,-80.3775
213160000.0,-80.37373
213170000.0,-80.37248
213180000.0,-80.36858
213190000.0,-80.35783
213200000.0,-80.36465
213210000.0,-80.372116
213220000.0,-80.286064
213230000.0,-80.334366
