Frequency (Hz),PSD (dBfs)
228000000.0,-80.39985
228010000.0,-80.45185
228020000.0,-80.42284
228030000.0,-80.40929
228040000.0,-80.43793
228050000.0,-80.42189
228060000.0,-80.421104
228070000.0,-80.419685
228080000.0,-80.417946
228090000.0,-80.46332
228100000.0,-80.45379
228110000.0,-80.45238
228120000.0,-80.480194
228130000.0,-80.484695
228140000.0,-80.440605
228150000.0,-80.424995
228160000.0,-80.404785
228170000.0,-80.39643
228180000.0,-80.43149
228190000.0,-80.45116
228200000.0,-80.45131
228210000.0,-80.51398
228220000.0,-80.47421
228230000.0,-80.428024
228240000.0,-80.457596
228250000.0,-80.47342
228260000.0,-80.45844
228270000.0,-80.420906
228280000.0,-80.43396
228290000.0,-80.40004
228300000.0,-80.44798
228310000.0,-80.43555
228320000.0,-80.41667
228330000.0,-80.41043
228340000.0,-80.456375
228350000.0,-80.465614
228360000.0,-80.43739
228370000.0,-80.40839
228380000.0,-80.41398
228390000.0,-80.4161
228400000.0,-80.45399
228410000.0,-80.42723
228420000.0,-80.4454
228430000.0,-80.4649
228440000.0,-80.43588
228450000.0,-80.43982
228460000.0,-80.46805
228470000.0,-80.49003
228480000.0,-80.48982
228490000.0,-80.440895
228500000.0,-80.39967
228510000.0,-80.38194
228520000.0,-80.43085
228530000.0,-80.45826
228540000.0,-80.45002
228550000.0,-80.46719
228560000.0,-80.48667
228570000.0,-80.44961
228580000.0,-80.47997
228590000.0,-80.503296
228600000.0,-80.49706
228610000.0,-80.41861
228620000.0,-80.481445
228630000.0,-80.44667
228640000.0,-80.45401
228650000.0,-80.47227
228660000.0,-80.48387
228670000.0,-80.5125
228680000.0,-80.47517
228690000.0,-80.459076
228700000.0,-80.47856
228710000.0,-80.46149
228720000.0,-80.421555
228730000.0,-80.45227
228740000.0,-80.46648
228750000.0,-80.46416
228760000.0,-80.496864
228770000.0,-80.49791
228780000.0,-80.4559
228790000.0,-80.47829
228800000.0,-80.50012
228810000.0,-80.42461
228820000.0,-80.40762
228830000.0,-80.449974
228840000.0,-80.42327
228850000.0,-80.47477
228860000.0,-80.490326
228870000.0,-80.48347
228880000.0,-80.46896
228890000.0,-80.48413
228900000.0,-80.44068
228910000.0,-80.48583
228920000.0,-80.48591
228930000.0,-80.46208
228940000.0,-80.49053
228950000.0,-80.48386
228960000.0,-80.51475
228970000.0,-80.47469
228980000.0,-80.42992
228990000.0,-80.45781
229000000.0,-80.41673
229010000.0,-80.38907
229020000.0,-80.39424
229030000.0,-80.47973
229040000.0,-80.50583
229050000.0,-80.42418
229060000.0,-80.40372
229070000.0,-80.40302
229080000.0,-80.43538
229090000.0,-80.41019
229100000.0,-80.40236
229110000.0,-80.434006
229120000.0,-80.42923
229130000.0,-80.39902
229140000.0,-80.49462
229150000.0,-80.4265
229160000.0,-80.43445
229170000.0,-80.49983
229180000.0,-80.50206
229190000.0,-80.48095
229200000.0,-80.45633
229210000.0,-80.46718
229220000.0,-80.42549
229230000.0,-80.455475
229240000.0,-80.4357
229250000.0,-80.46691
229260000.0,-80.51305
229270000.0,-80.48702
229280000.0,-80.43166
229290000.0,-80.43374
229300000.0,-80.481476
229310000.0,-80.45703
229320000.0,-80.45683
229330000.0,-80.45094
229340000.0,-80.414734
229350000.0,-80.4043
229360000.0,-80.421974
229370000.0,-80.43877
229380000.0,-80.44941
229390000.0,-80.444786
229400000.0,-80.44388
229410000.0,-80.44727
229420000.0,-80.4461
229430000.0,-80.402
229440000.0,-80.35221
229450000.0,-80.38916
229460000.0,-80.4383
229470000.0,-80.42827
229480000.0,-80.460594
229490000.0,-80.484116
229500000.0,-80.45848
229510000.0,-80.428955
229520000.0,-80.457794
229530000.0,-80.42431
229540000.0,-80.44303
229550000.0,-80.449135
229560000.0,-80.42991
229570000.0,-80.41978
229580000.0,-80.50949
229590000.0,-80.54448
229600000.0,-80.46106
229610000.0,-80.40855
229620000.0,-80.41113
229630000.0,-80.431366
229640000.0,-80.47954
229650000.0,-80.455086
229660000.0,-80.43881
229670000.0,-80.414246
229680000.0,-80.43361
229690000.0,-80.429146
229700000.0,-80.41053
229710000.0,-80.44359
229720000.0,-80.435776
229730000.0,-80.44711
229740000.0,-80.496155
229750000.0,-80.49103
229760000.0,-80.49071
229770000.0,-80.501755
229780000.0,-80.48407
229790000.0,-80.4451
229800000.0,-80.44892
229810000.0,-80.42496
229820000.0,-80.445786
229830000.0,-80.46714
229840000.0,-80.42965
229850000.0,-80.41541
229860000.0,-80.45811
229870000.0,-80.40582
229880000.0,-80.43565
229890000.0,-80.45123
229900000.0,-80.45242
229910000.0,-80.51881
229920000.0,-80.47362
229930000.0,-80.507774
229940000.0,-80.49913
229950000.0,-80.434204
229960000.0,-80.46672
229970000.0,-80.43738
229980000.0,-80.42701
229990000.0,-80.3696
230000000.0,-80.157326
230010000.0,-80.370865
230020000.0,-80.40333
230030000.0,-80.4239
230040000.0,-80.40732
230050000.0,-80.44938
230060000.0,-80.43947
230070000.0,-80.40973
230080000.0,-80.41263
230090000.0,-80.44945
230100000.0,-80.45654
230110000.0,-80.42284
230120000.0,-80.44445
230130000.0,-80.42442
230140000.0,-80.41516
230150000.0,-80.4827
230160000.0,-80.450836
230170000.0,-80.41474
230180000.0,-80.40397
230190000.0,-80.448944
230200000.0,-80.49537
230210000.0,-80.440674
230220000.0,-80.39224
230230000.0,-80.431816
230240000.0,-80.42853
230250000.0,-80.417946
230260000.0,-80.39021
230270000.0,-80.43036
230280000.0,-80.46757
230290000.0,-80.42903
230300000.0,-80.425095
230310000.0,-80.442474
230320000.0,-80.45473
230330000.0,-80.44784
230340000.0,-80.42575
230350000.0,-80.4064
230360000.0,-80.44411
230370000.0,-80.47875
230380000.0,-80.48463
230390000.0,-80.39461
230400000.0,-80.40352
230410000.0,-80.434265
230420000.0,-80.45224
230430000.0,-80.455246
230440000.0,-80.45979
230450000.0,-80.44944
230460000.0,-80.4383
230470000.0,-80.40674
230480000.0,-80.420845
230490000.0,-80.44324
230500000.0,-80.43129
230510000.0,-80.44882
230520000.0,-80.457695
230530000.0,-80.41086
230540000.0,-80.44159
230550000.0,-80.47189
230560000.0,-80.45437
230570000.0,-80.41271
230580000.0,-80.414696
230590000.0,-80.4581
230600000.0,-80.47209
230610000.0,-80.47004
230620000.0,-80.428375
230630000.0,-80.44441
230640000.0,-80.447426
230650000.0,-80.462234
230660000.0,-80.46152
230670000.0,-80.50751
230680000.0,-80.502846
230690000.0,-80.43262
230700000.0,-80.423134
230710000.0,-80.43137
230720000.0,-80.478424
230730000.0,-80.45163
230740000.0,-80.4462
230750000.0,-80.42985
230760000.0,-80.40208
230770000.0,-80.35936
230780000.0,-80.37874
230790000.0,-80.4086
230800000.0,-80.43005
230810000.0,-80.42625
230820000.0,-80.45555
230830000.0,-80.42978
230840000.0,-80.406
230850000.0,-80.41156
230860000.0,-80.46699
230870000.0,-80.480515
230880000.0,-80.43794
230890000.0,-80.47861
230900000.0,-80.46742
230910000.0,-80.42908
230920000.0,-80.36857
230930000.0,-80.38672
230940000.0,-80.45149
230950000.0,-80.44598
230960000.0,-80.511566
230970000.0,-80.507774
230980000.0,-80.445595
230990000.0,-80.458694
231000000.0,-80.51182
231010000.0,-80.4639
231020000.0,-80.4082
231030000.0,-80.39424
231040000.0,-80.42792
231050000.0,-80.453415
231060000.0,-80.45163
231070000.0,-80.40988
231080000.0,-80.42027
231090000.0,-80.47382
231100000.0,-80.48522
231110000.0,-80.43006
231120000.0,-80.497444
231130000.0,-80.4795
231140000.0,-80.42537
231150000.0,-80.44298
231160000.0,-80.47883
231170000.0,-80.46338
231180000.0,-80.42596
231190000.0,-80.39752
231200000.0,-80.397995
231210000.0,-80.38536
231220000.0,-80.45003
231230000.0,-80.49981
231240000.0,-80.502556
231250000.0,-80.42786
231260000.0,-80.436615
231270000.0,-80.48809
231280000.0,-80.50215
231290000.0,-80.46286
231300000.0,-80.45921
231310000.0,-80.457344
231320000.0,-80.41336
231330000.0,-80.43236
231340000.0,-80.454025
231350000.0,-80.46123
231360000.0,-80.48095
231370000.0,-80.46025
231380000.0,-80.451775
231390000.0,-80.46724
231400000.0,-80.42365
231410000.0,-80.461334
231420000.0,-80.4874
231430000.0,-80.52474
231440000.0,-80.44315
231450000.0,-80.45685
231460000.0,-80.42583
231470000.0,-80.45834
231480000.0,-80.423386
231490000.0,-80.39264
231500000.0,-80.433266
231510000.0,-80.47746
231520000.0,-80.383286
231530000.0,-80.38688
231540000.0,-80.448006
231550000.0,-80.48474
231560000.0,-80.46959
231570000.0,-80.44967
231580000.0,-80.4399
231590000.0,-80.502655
231600000.0,-80.538445
231610000.0,-80.55133
231620000.0,-80.53743
231630000.0,-80.499954
231640000.0,-80.44506
231650000.0,-80.49462
231660000.0,-80.51849
231670000.0,-80.429886
231680000.0,-80.46273
231690000.0,-80.48089
231700000.0,-80.471565
231710000.0,-80.45198
231720000.0,-80.46189
231730000.0,-80.44324
231740000.0,-80.470535
231750000.0,-80.46634
231760000.0,-80.469635
231770000.0,-80.459854
231780000.0,-80.455894
231790000.0,-80.446976
231800000.0,-80.496735
231810000.0,-80.45112
231820000.0,-80.44774
231830000.0,-80.49364
231840000.0,-80.503265
231850000.0,-80.44488
231860000.0,-80.47921
231870000.0,-80.490425
231880000.0,-80.42477
231890000.0,-80.42886
231900000.0,-80.43494
231910000.0,-80.45976
231920000.0,-80.483864
231930000.0,-80.45558
231940000.0,-80.45175
231950000.0,-80.46709
231960000.0,-80.467415
231970000.0,-80.459045
231980000.0,-80.449036
231990000.0,-80.46266
232000000.0,-80.39256
232010000.0,-80.44255
232020000.0,-80.46456
232030000.0,-80.47026
232040000.0,-80.41958
232050000.0,-80.42735
232060000.0,-80.451744
232070000.0,-80.48509
232080000.0,-80.48568
232090000.0,-80.455475
232100000.0,-80.48417
232110000.0,-80.48995
232120000.0,-80.55699
232130000.0,-80.5062
232140000.0,-80.46451
232150000.0,-80.40253
232160000.0,-80.418015
232170000.0,-80.514435
232180000.0,-80.513084
232190000.0,-80.46012
232200000.0,-80.46863
232210000.0,-80.49805
232220000.0,-80.515816
232230000.0,-80.431274
232240000.0,-80.459854
232250000.0,-80.46445
232260000.0,-80.44591
232270000.0,-80.42848
232280000.0,-80.44135
232290000.0,-80.491875
232300000.0,-80.4684
232310000.0,-80.47534
232320000.0,-80.52451
232330000.0,-80.50516
232340000.0,-80.53203
232350000.0,-80.522934
232360000.0,-80.56842
232370000.0,-80.56118
232380000.0,-80.52468
232390000.0,-80.512
232400000.0,-80.49552
232410000.0,-80.51711
232420000.0,-80.492645
232430000.0,-80.47436
232440000.0,-80.50498
232450000.0,-80.50167
232460000.0,-80.50015
232470000.0,-80.5392
232480000.0,-80.50479
232490000.0,-80.53254
232500000.0,-80.49666
232510000.0,-80.45741
232520000.0,-80.4212
232530000.0,-80.443886
232540000.0,-80.461685
232550000.0,-80.504456
232560000.0,-80.5208
232570000.0,-80.49828
232580000.0,-80.46372
232590000.0,-80.48638
232600000.0,-80.45663
232610000.0,-80.4433
232620000.0,-80.44915
232630000.0,-80.47504
232640000.0,-80.507774
232650000.0,-80.45262
232660000.0,-80.47623
232670000.0,-80.51766
232680000.0,-80.534065
232690000.0,-80.52413
232700000.0,-80.471
232710000.0,-80.44285
232720000.0,-80.47779
232730000.0,-80.44287
232740000.0,-80.47427
232750000.0,-80.468636
232760000.0,-80.479614
232770000.0,-80.48233
232780000.0,-80.49005
232790000.0,-80.47891
232800000.0,-80.48763
232810000.0,-80.51109
232820000.0,-80.52173
232830000.0,-80.499306
232840000.0,-80.497246
232850000.0,-80.50482
232860000.0,-80.48117
232870000.0,-80.47446
232880000.0,-80.50067
232890000.0,-80.498
232900000.0,-80.48604
232910000.0,-80.463486
232920000.0,-80.49341
232930000.0,-80.504005
232940000.0,-80.4762
232950000.0,-80.42812
232960000.0,-80.47211
232970000.0,-80.45783
232980000.0,-80.50758
232990000.0,-80.471565
233000000.0,-80.45192
233010000.0,-80.503265
233020000.0,-80.56365
233030000.0,-80.542366
233040000.0,-80.451164
233050000.0,-80.45184
233060000.0,-80.44699
233070000.0,-80.45064
233080000.0,-80.498825
233090000.0,-80.52896
233100000.0,-80.45891
233110000.0,-80.48747
233120000.0,-80.50542
233130000.0,-80.51627
233140000.0,-80.531555
233150000.0,-80.559074
233160000.0,-80.55218
233170000.0,-80.52021
233180000.0,-80.519325
233190000.0,-80.5141
233200000.0,-80.460396
233210000.0,-80.44244
233220000.0,-80.45333
233230000.0,-80.4668
233240000.0,-80.48604
233250000.0,-80.52959
233260000.0,-80.49465
233270000.0,-80.50604
233280000.0,-80.450134
233290000.0,-80.44392
233300000.0,-80.49694
233310000.0,-80.50564
233320000.0,-80.503815
233330000.0,-80.533455
233340000.0,-80.52921
233350000.0,-80.56117
233360000.0,-80.516495
233370000.0,-80.5136
233380000.0,-80.49982
233390000.0,-80.480286
233400000.0,-80.494415
233410000.0,-80.4578
233420000.0,-80.41157
233430000.0,-80.516014
233440000.0,-80.54567
233450000.0,-80.516594
233460000.0,-80.48485
233470000.0,-80.524796
233480000.0,-80.5361
233490000.0,-80.50241
233500000.0,-80.46176
233510000.0,-80.424385
233520000.0,-80.46433
233530000.0,-80.53467
233540000.0,-80.54763
233550000.0,-80.53234
233560000.0,-80.527336
233570000.0,-80.50279
233580000.0,-80.515816
233590000.0,-80.492065
233600000.0,-80.508995
233610000.0,-80.532074
233620000.0,-80.54528
233630000.0,-80.53608
233640000.0,-80.568
233650000.0,-80.54582
233660000.0,-80.5235
233670000.0,-80.45662
233680000.0,-80.48941
233690000.0,-80.52391
233700000.0,-80.44448
233710000.0,-80.47989
233720000.0,-80.5332
233730000.0,-80.50904
233740000.0,-80.5157
233750000.0,-80.48341
233760000.0,-80.498276
233770000.0,-80.56365
233780000.0,-80.5471
233790000.0,-80.53478
233800000.0,-80.50557
233810000.0,-80.48761
233820000.0,-80.49371
