Frequency (Hz),PSD (dBfs)
208000000.0,-80.658356
208010000.0,-80.660645
208020000.0,-80.67353
208030000.0,-80.70252
208040000.0,-80.73163
208050000.0,-80.73029
208060000.0,-80.71433
208070000.0,-80.68641
208080000.0,-80.70404
208090000.0,-80.74474
208100000.0,-80.69292
208110000.0,-80.68324
208120000.0,-80.69864
208130000.0,-80.6863
208140000.0,-80.69824
208150000.0,-80.67155
208160000.0,-80.71974
208170000.0,-80.71419
208180000.0,-80.75635
208190000.0,-80.752945
208200000.0,-80.708466
208210000.0,-80.71191
208220000.0,-80.720375
208230000.0,-80.75987
208240000.0,-80.77295
208250000.0,-80.73482
208260000.0,-80.73879
208270000.0,-80.683395
208280000.0,-80.728905
208290000.0,-80.69839
208300000.0,-80.6578
208310000.0,-80.714806
208320000.0,-80.73734
208330000.0,-80.74561
208340000.0,-80.72879
208350000.0,-80.7634
208360000.0,-80.76352
208370000.0,-80.74095
208380000.0,-80.77461
208390000.0,-80.77554
208400000.0,-80.69768
208410000.0,-80.7171
208420000.0,-80.73515
208430000.0,-80.77316
208440000.0,-80.75098
208450000.0,-80.689255
208460000.0,-80.7021
208470000.0,-80.80029
208480000.0,-80.776306
208490000.0,-80.74844
208500000.0,-80.72936
208510000.0,-80.713036
208520000.0,-80.79025
208530000.0,-80.75637
208540000.0,-80.712845
208550000.0,-80.73169
208560000.0,-80.78078
208570000.0,-80.82024
208580000.0,-80.77363
208590000.0,-80.746216
208600000.0,-80.74242
208610000.0,-80.74523
208620000.0,-80.778725
208630000.0,-80.73387
208640000.0,-80.79143
208650000.0,-80.77483
208660000.0,-80.705475
208670000.0,-80.640366
208680000.0,-80.65309
208690000.0,-80.68881
208700000.0,-80.74094
208710000.0,-80.772964
208720000.0,-80.729065
208730000.0,-80.6712
208740000.0,-80.724655
208750000.0,-80.74894
208760000.0,-80.77144
208770000.0,-80.79736
208780000.0,-80.791405
208790000.0,-80.68457
208800000.0,-80.70716
208810000.0,-80.81794
208820000.0,-80.80023
208830000.0,-80.7481
208840000.0,-80.70617
208850000.0,-80.75703
208860000.0,-80.74164
208870000.0,-80.765076
208880000.0,-80.72338
208890000.0,-80.75707
208900000.0,-80.745316
208910000.0,-80.739746
208920000.0,-80.72739
208930000.0,-80.683
208940000.0,-80.732
208950000.0,-80.72167
208960000.0,-80.73358
208970000.0,-80.68122
208980000.0,-80.68337
208990000.0,-80.69065
209000000.0,-80.67249
209010000.0,-80.6664
209020000.0,-80.69167
209030000.0,-80.736465
209040000.0,-80.73808
209050000.0,-80.68387
209060000.0,-80.72617
209070000.0,-80.7368
209080000.0,-80.6913
209090000.0,-80.72446
209100000.0,-80.79442
209110000.0,-80.69622
209120000.0,-80.69438
209130000.0,-80.73149
209140000.0,-80.67235
209150000.0,-80.68096
209160000.0,-80.68859
209170000.0,-80.67055
209180000.0,-80.6845
209190000.0,-80.66855
209200000.0,-80.68109
209210000.0,-80.671005
209220000.0,-80.679535
209230000.0,-80.74585
209240000.0,-80.7312
209250000.0,-80.7287
209260000.0,-80.67699
209270000.0,-80.6729
209280000.0,-80.71927
209290000.0,-80.67778
209300000.0,-80.608986
