Frequency (Hz),PSD (dBfs)
228000000.0,-80.83401
228010000.0,-80.87442
228020000.0,-80.891914
228030000.0,-80.923546
228040000.0,-80.878784
228050000.0,-80.87623
228060000.0,-80.93421
228070000.0,-80.97332
228080000.0,-80.94475
228090000.0,-80.92281
228100000.0,-80.93598
228110000.0,-80.947945
228120000.0,-80.92149
228130000.0,-80.90625
228140000.0,-80.87959
228150000.0,-80.935776
228160000.0,-80.98667
228170000.0,-80.99923
228180000.0,-80.9665
228190000.0,-80.95605
228200000.0,-80.91446
228210000.0,-80.93088
228220000.0,-80.889496
228230000.0,-80.92941
228240000.0,-80.935135
228250000.0,-80.89757
228260000.0,-80.95498
228270000.0,-80.9974
228280000.0,-80.97818
228290000.0,-80.93574
228300000.0,-80.97133
228310000.0,-80.97061
228320000.0,-80.93238
228330000.0,-80.892914
228340000.0,-80.92449
228350000.0,-80.94861
228360000.0,-80.853355
228370000.0,-80.92088
228380000.0,-80.9826
228390000.0,-80.9807
228400000.0,-80.95307
228410000.0,-80.96465
228420000.0,-81.03865
228430000.0,-81.02849
228440000.0,-81.00819
228450000.0,-80.95417
228460000.0,-80.924515
228470000.0,-80.94624
228480000.0,-81.00132
228490000.0,-81.0009
228500000.0,-80.976906
228510000.0,-80.95152
228520000.0,-80.97527
228530000.0,-80.9587
228540000.0,-80.930855
228550000.0,-80.93899
228560000.0,-80.937126
228570000.0,-80.88502
228580000.0,-80.86952
228590000.0,-80.89064
228600000.0,-80.8807
228610000.0,-80.91882
228620000.0,-80.93342
228630000.0,-80.911095
228640000.0,-80.89734
228650000.0,-80.95149
228660000.0,-80.958855
228670000.0,-80.96355
228680000.0,-80.97844
228690000.0,-80.93526
228700000.0,-80.9474
228710000.0,-80.95398
228720000.0,-80.94345
228730000.0,-80.922585
228740000.0,-80.92354
228750000.0,-80.97865
228760000.0,-80.94108
228770000.0,-80.928055
228780000.0,-80.94893
228790000.0,-80.91049
228800000.0,-80.99191
228810000.0,-81.02762
228820000.0,-80.934525
228830000.0,-80.90775
228840000.0,-80.9612
228850000.0,-80.9644
228860000.0,-80.95
228870000.0,-80.968704
228880000.0,-80.929794
228890000.0,-80.95845
228900000.0,-81.003845
228910000.0,-80.969284
228920000.0,-80.96565
228930000.0,-80.89017
228940000.0,-80.92708
228950000.0,-80.96997
228960000.0,-80.97076
228970000.0,-80.94368
228980000.0,-80.914955
228990000.0,-80.9008
229000000.0,-80.9361
229010000.0,-80.99448
229020000.0,-80.99769
229030000.0,-80.95064
229040000.0,-80.93312
229050000.0,-80.89902
229060000.0,-80.93571
229070000.0,-80.950005
229080000.0,-80.95509
229090000.0,-81.00216
229100000.0,-80.98969
229110000.0,-80.923706
229120000.0,-80.90737
229130000.0,-80.91091
229140000.0,-80.94715
229150000.0,-80.932846
229160000.0,-80.869
229170000.0,-80.86753
229180000.0,-80.9175
229190000.0,-80.923225
229200000.0,-80.87032
229210000.0,-80.86857
229220000.0,-80.9351
229230000.0,-80.94841
229240000.0,-80.93781
229250000.0,-80.91964
229260000.0,-80.93456
229270000.0,-80.980484
229280000.0,-80.99002
229290000.0,-80.942345
229300000.0,-80.90532
229310000.0,-80.938
229320000.0,-80.89653
229330000.0,-80.88932
229340000.0,-80.89258
229350000.0,-80.88174
229360000.0,-80.905334
229370000.0,-80.95287
229380000.0,-80.95598
229390000.0,-80.90633
229400000.0,-80.92254
229410000.0,-80.95384
229420000.0,-80.94568
229430000.0,-80.865845
229440000.0,-80.92285
229450000.0,-80.953514
229460000.0,-80.99548
229470000.0,-80.95215
229480000.0,-80.93749
229490000.0,-80.91068
229500000.0,-80.90259
229510000.0,-80.90814
229520000.0,-80.91087
229530000.0,-80.92628
229540000.0,-80.90338
229550000.0,-80.97123
229560000.0,-80.967926
229570000.0,-80.92446
229580000.0,-80.95708
229590000.0,-80.97172
229600000.0,-80.98156
229610000.0,-80.97981
229620000.0,-80.93001
229630000.0,-80.91719
229640000.0,-80.91579
229650000.0,-80.95211
229660000.0,-80.983284
229670000.0,-80.93176
229680000.0,-80.92438
229690000.0,-80.95295
229700000.0,-80.91503
229710000.0,-80.92301
229720000.0,-80.92633
229730000.0,-80.93166
229740000.0,-80.90645
229750000.0,-80.94469
229760000.0,-80.90789
229770000.0,-80.904396
229780000.0,-80.95961
229790000.0,-80.95115
229800000.0,-80.94156
229810000.0,-80.950195
229820000.0,-80.9126
229830000.0,-80.93378
229840000.0,-80.91138
229850000.0,-80.89729
229860000.0,-80.94535
229870000.0,-80.95503
229880000.0,-80.93995
229890000.0,-80.906715
229900000.0,-80.91585
229910000.0,-80.91745
229920000.0,-80.9119
229930000.0,-80.89909
229940000.0,-80.94611
229950000.0,-80.88687
229960000.0,-80.89881
229970000.0,-80.91022
229980000.0,-80.953354
229990000.0,-80.82058
230000000.0,-80.566376
230010000.0,-80.89134
230020000.0,-80.9305
230030000.0,-80.92073
230040000.0,-80.90311
230050000.0,-80.90086
230060000.0,-80.96887
230070000.0,-81.03018
230080000.0,-80.98166
230090000.0,-80.864525
230100000.0,-80.91416
230110000.0,-80.898315
230120000.0,-80.96802
230130000.0,-80.94983
230140000.0,-80.90237
230150000.0,-80.93795
230160000.0,-80.93075
230170000.0,-80.916275
230180000.0,-80.9796
230190000.0,-80.96103
230200000.0,-80.95332
230210000.0,-81.00045
230220000.0,-80.96008
230230000.0,-80.94432
