Frequency (Hz),PSD (dBfs)
548000000.0,-80.659134
548010000.0,-80.73002
548020000.0,-80.71049
548030000.0,-80.69497
548040000.0,-80.76976
548050000.0,-80.76314
548060000.0,-80.70451
548070000.0,-80.733215
548080000.0,-80.753204
548090000.0,-80.749664
548100000.0,-80.7286
548110000.0,-80.74302
548120000.0,-80.79765
548130000.0,-80.68645
548140000.0,-80.67745
548150000.0,-80.72651
548160000.0,-80.81993
548170000.0,-80.77874
548180000.0,-80.70825
548190000.0,-80.676636
548200000.0,-80.697845
548210000.0,-80.75493
548220000.0,-80.75934
548230000.0,-80.74162
548240000.0,-80.72102
548250000.0,-80.72267
548260000.0,-80.715256
548270000.0,-80.734695
548280000.0,-80.75844
548290000.0,-80.69748
548300000.0,-80.7113
548310000.0,-80.706604
548320000.0,-80.66707
548330000.0,-80.67634
548340000.0,-80.74459
548350000.0,-80.784195
548360000.0,-80.74814
548370000.0,-80.7717
548380000.0,-80.75973
548390000.0,-80.739426
548400000.0,-80.73137
548410000.0,-80.714195
548420000.0,-80.75568
548430000.0,-80.73065
548440000.0,-80.698425
548450000.0,-80.748566
548460000.0,-80.78361
548470000.0,-80.76679
548480000.0,-80.71901
548490000.0,-80.78602
548500000.0,-80.7592
548510000.0,-80.73162
548520000.0,-80.738464
548530000.0,-80.76744
548540000.0,-80.75238
548550000.0,-80.761215
548560000.0,-80.74806
548570000.0,-80.7568
548580000.0,-80.758224
548590000.0,-80.793755
548600000.0,-80.78988
548610000.0,-80.75759
548620000.0,-80.73062
548630000.0,-80.73483
548640000.0,-80.7767
548650000.0,-80.73663
548660000.0,-80.7711
548670000.0,-80.750626
548680000.0,-80.73004
548690000.0,-80.749855
548700000.0,-80.75346
548710000.0,-80.73862
548720000.0,-80.74141
548730000.0,-80.73184
548740000.0,-80.7138
548750000.0,-80.718956
548760000.0,-80.728546
548770000.0,-80.75816
548780000.0,-80.76021
548790000.0,-80.75543
548800000.0,-80.72545
548810000.0,-80.74589
548820000.0,-80.74638
548830000.0,-80.72972
548840000.0,-80.75154
548850000.0,-80.768135
548860000.0,-80.727234
548870000.0,-80.69146
548880000.0,-80.7497
548890000.0,-80.81821
548900000.0,-80.79126
548910000.0,-80.748405
548920000.0,-80.72783
548930000.0,-80.761734
548940000.0,-80.72529
548950000.0,-80.719025
548960000.0,-80.704346
548970000.0,-80.702484
548980000.0,-80.73845
548990000.0,-80.7159
549000000.0,-80.724495
549010000.0,-80.734215
549020000.0,-80.681015
549030000.0,-80.68144
549040000.0,-80.74512
549050000.0,-80.7623
549060000.0,-80.75693
549070000.0,-80.75531
549080000.0,-80.71433
549090000.0,-80.76072
549100000.0,-80.75047
549110000.0,-80.68593
549120000.0,-80.67989
549130000.0,-80.71593
549140000.0,-80.7287
549150000.0,-80.71344
549160000.0,-80.68786
549170000.0,-80.66822
549180000.0,-80.68429
549190000.0,-80.69356
549200000.0,-80.72424
549210000.0,-80.73304
549220000.0,-80.72297
549230000.0,-80.74662
549240000.0,-80.48396
549250000.0,-78.396065
549260000.0,-79.13652
549270000.0,-80.616646
549280000.0,-80.69274
549290000.0,-80.71659
549300000.0,-80.69205
549310000.0,-80.68097
549320000.0,-80.722694
549330000.0,-80.768845
549340000.0,-80.752266
549350000.0,-80.72694
549360000.0,-80.76422
549370000.0,-80.78912
549380000.0,-80.76028
549390000.0,-80.75746
549400000.0,-80.7436
549410000.0,-80.76294
549420000.0,-80.79436
549430000.0,-80.77916
549440000.0,-80.77008
549450000.0,-80.77983
549460000.0,-80.77065
549470000.0,-80.773994
549480000.0,-80.73669
549490000.0,-80.65041
549500000.0,-80.71872
549510000.0,-80.74362
549520000.0,-80.707825
549530000.0,-80.74109
549540000.0,-80.733574
549550000.0,-80.75318
549560000.0,-80.77737
549570000.0,-80.79526
549580000.0,-80.736084
549590000.0,-80.68227
549600000.0,-80.691864
549610000.0,-80.73367
549620000.0,-80.75575
549630000.0,-80.72623
549640000.0,-80.76361
549650000.0,-80.76821
549660000.0,-80.75662
549670000.0,-80.776634
549680000.0,-80.78704
549690000.0,-80.729744
549700000.0,-80.72577
549710000.0,-80.78798
549720000.0,-80.80346
549730000.0,-80.76316
549740000.0,-80.769264
549750000.0,-80.71125
549760000.0,-80.72165
549770000.0,-80.79696
549780000.0,-80.741234
549790000.0,-80.704926
549800000.0,-80.728905
549810000.0,-80.7277
549820000.0,-80.73814
549830000.0,-80.76103
549840000.0,-80.74884
549850000.0,-80.790695
549860000.0,-80.7935
549870000.0,-80.78579
549880000.0,-80.743805
549890000.0,-80.721924
