Frequency (Hz),PSD (dBfs)
328000000.0,-80.98186
328010000.0,-81.05522
328020000.0,-81.02959
328030000.0,-81.0574
328040000.0,-81.034935
328050000.0,-81.026924
328060000.0,-81.04578
328070000.0,-81.049835
328080000.0,-81.07957
328090000.0,-81.05838
328100000.0,-81.05378
328110000.0,-81.015335
328120000.0,-81.03593
328130000.0,-81.072205
328140000.0,-81.029884
328150000.0,-81.04332
328160000.0,-81.06819
328170000.0,-81.1165
328180000.0,-81.1268
328190000.0,-81.07063
328200000.0,-81.10158
328210000.0,-81.092606
328220000.0,-81.114334
328230000.0,-81.10238
328240000.0,-81.08766
328250000.0,-81.038055
328260000.0,-81.07559
328270000.0,-81.08411
328280000.0,-81.10084
328290000.0,-81.09187
328300000.0,-81.14602
328310000.0,-81.10716
328320000.0,-81.08472
328330000.0,-81.081985
328340000.0,-81.03009
328350000.0,-81.03512
328360000.0,-81.06686
328370000.0,-81.07796
328380000.0,-81.054504
328390000.0,-81.0104
328400000.0,-81.05803
328410000.0,-81.07117
328420000.0,-81.052635
328430000.0,-81.050804
328440000.0,-81.06056
328450000.0,-81.1073
328460000.0,-81.090225
328470000.0,-81.11624
328480000.0,-81.09099
328490000.0,-81.05266
328500000.0,-81.03768
328510000.0,-81.02715
328520000.0,-81.016846
328530000.0,-81.08098
328540000.0,-81.11769
328550000.0,-81.057014
328560000.0,-81.069984
328570000.0,-81.120155
328580000.0,-81.08533
328590000.0,-81.062996
328600000.0,-81.11401
328610000.0,-81.09534
328620000.0,-81.02218
328630000.0,-81.07448
328640000.0,-81.10882
328650000.0,-81.10716
328660000.0,-81.063065
328670000.0,-81.0692
328680000.0,-81.0799
328690000.0,-81.060326
328700000.0,-81.04478
328710000.0,-81.00999
328720000.0,-81.03389
328730000.0,-81.06456
328740000.0,-81.04095
328750000.0,-81.0741
328760000.0,-81.08673
328770000.0,-81.07319
328780000.0,-81.096535
328790000.0,-81.11382
328800000.0,-81.08798
328810000.0,-81.10596
328820000.0,-81.10073
328830000.0,-81.11145
328840000.0,-81.0782
328850000.0,-81.082146
328860000.0,-81.11398
328870000.0,-81.09514
328880000.0,-81.061516
328890000.0,-81.03885
328900000.0,-81.02899
328910000.0,-81.01593
328920000.0,-81.048294
328930000.0,-81.0578
328940000.0,-81.01391
